layer,run,window,top_pct,rows,n,net_hit_pct,mean_net_bps,median_net_bps,stop_hit_pct,avg_loss_per_stop_bps
base,baseline,all,10,502210,50221,24.633121602516876,-18.785473172469874,-55.44564313806593,17.496664741841062,116.84243355745559
base,baseline,all,20,502210,100442,28.28298918778997,-27.142011521797166,-65.40951528206467,27.689611915334222,132.05571995638212
base,baseline,all,30,502210,150663,30.55229220180137,-32.42660372336047,-68.45595586112002,34.96611643203706,146.99609224151877
base,baseline,all,40,502210,200884,31.31359391489616,-37.86274971655254,-68.83000000213607,40.39097190418351,158.35867131361653
base,baseline,8w,10,42648,4265,21.992966002344666,-15.92497310421245,-54.073588453158735,10.175849941383353,115.13440007123313
base,baseline,8w,20,42648,8530,24.66588511137163,-24.625803223195177,-60.181976350415496,17.842907385697536,124.58846341879047
base,baseline,8w,30,42648,12795,29.488081281750684,-25.143607272628994,-61.79491732820868,24.66588511137163,129.51347140312635
base,baseline,8w,40,42648,17060,31.52403282532239,-28.64282937137607,-65.28235904608853,30.422039859320048,137.483893141205
base,baseline,4w,10,16780,1678,29.797377830750893,-9.182424461472914,-46.287938948646186,15.435041716328962,143.96141767301924
base,baseline,4w,20,16780,3356,31.6150178784267,-22.471434847953795,-59.07610064225271,27.502979737783072,143.87094991281396
base,baseline,4w,30,16780,5034,32.379817242749304,-31.769221006390836,-66.7154999790201,35.87604290822408,152.31406245067282
base,baseline,4w,40,16780,6712,31.987485101311087,-39.72612003220328,-68.78471640659161,41.99940405244338,159.23566518675273
base,baseline,2w,10,5432,544,28.860294117647058,-22.92218379890037,-60.24962616704404,17.27941176470588,191.47090840464176
base,baseline,2w,20,5432,1087,30.726770929162832,-36.654983887034106,-67.22161697309464,32.56669733210671,174.52834479873073
base,baseline,2w,30,5432,1630,31.717791411042946,-44.098397890069904,-68.80600000824604,40.79754601226993,179.45132269345376
base,baseline,2w,40,5432,2173,30.971007823285778,-53.66058676725212,-68.8300000100131,46.84767602393005,186.7442047183941
base,v8,all,10,502210,50221,27.994265347165527,-35.20705366813784,-68.34614841847913,34.748412018876564,174.27272657530787
base,v8,all,20,502210,100442,27.91660859003206,-45.647254414572444,-68.83000002698952,41.2526632285299,183.42282277500175
base,v8,all,30,502210,150663,29.031679974512652,-51.336577981158385,-68.8300001453071,46.00001327465934,188.7755887295201
base,v8,all,40,502210,200884,29.547400489834928,-55.19843099427737,-68.83001314578668,49.02381473885426,191.00015174479063
base,v8,8w,10,42648,4265,10.410316529894489,-39.18002232809047,-68.80600000142483,19.038686987104334,103.8717554223963
base,v8,8w,20,42648,8530,18.464243845252053,-36.25001221362375,-68.58611796799057,23.868698710433765,120.20233642598959
base,v8,8w,30,42648,12795,23.939038686987104,-40.359634250169144,-68.74787787621433,32.50488472059398,144.82514112839283
base,v8,8w,40,42648,17060,26.852286049237982,-45.11668631757454,-68.83000000146328,38.3704572098476,158.1709712728356
base,v8,4w,10,16780,1678,22.228843861740167,-25.48627088534602,-65.83028231018223,25.32777115613826,122.89226567955961
base,v8,4w,20,16780,3356,29.23122765196663,-32.992790857713295,-66.57475618323777,35.2502979737783,153.43067570986548
base,v8,4w,30,16780,5034,29.996027016289233,-46.23215412374633,-68.83000000146328,44.159713945172825,168.54419141690647
base,v8,4w,40,16780,6712,29.558998808104885,-55.7145611515589,-68.83006324666346,49.68712753277711,174.691596304945
base,v8,2w,10,5432,544,25.551470588235293,-25.48152324244949,-64.71563339784741,27.02205882352941,138.7974167195912
base,v8,2w,20,5432,1087,31.278748850046,-38.47349004247534,-68.56517922626342,38.822447102115916,170.5880763023702
base,v8,2w,30,5432,1630,29.69325153374233,-57.449878337927885,-68.83000015720869,48.34355828220859,186.64562619573957
base,v8,2w,40,5432,2173,29.084215370455592,-65.07865714251713,-74.68295201744884,52.646111366774036,191.07707171018447
meta_tbm_clf,baseline,all,10,62257,6226,26.726630260199162,6.033274233784096,-43.45794417515397,0.9155155798265339,110.24459353712362
meta_tbm_clf,baseline,all,20,62257,12452,33.75361387728879,12.034728695353955,-33.62409863241017,4.047542563443623,119.76633610664976
meta_tbm_clf,baseline,all,30,62257,18678,38.17860584645037,13.401411551085603,-28.252876127064226,9.208694721062212,131.03445038518532
meta_tbm_clf,baseline,all,40,62257,24903,40.031321527526806,11.553257282017237,-26.931199008524416,14.492229851825082,140.41350568423533
meta_tbm_clf,baseline,8w,10,3948,395,19.746835443037973,7.561614779609724,-58.348860820680855,0.0,
meta_tbm_clf,baseline,8w,20,3948,790,20.632911392405063,-0.23167320674469172,-54.49240130458027,0.12658227848101267,76.52638165365904
meta_tbm_clf,baseline,8w,30,3948,1185,24.641350210970465,1.3772356497147886,-48.864497566521166,0.5063291139240507,134.6458215810545
meta_tbm_clf,baseline,8w,40,3948,1580,26.83544303797468,3.0346711600627967,-46.51457629717886,2.0253164556962027,130.43300397823447
meta_tbm_clf,baseline,4w,10,1226,123,26.01626016260163,6.09253880466861,-58.2074080555886,0.0,
meta_tbm_clf,baseline,4w,20,1226,246,26.01626016260163,4.161373718915072,-54.8803664240241,0.0,
meta_tbm_clf,baseline,4w,30,1226,368,28.804347826086957,5.781714910639342,-45.698554949760435,0.2717391304347826,141.72211265742777
meta_tbm_clf,baseline,4w,40,1226,491,31.771894093686353,9.849560478400347,-42.40588494196534,0.8146639511201629,121.52568879157303
meta_tbm_clf,baseline,2w,10,502,51,23.52941176470588,35.230811891923004,-63.32756403919309,0.0,
meta_tbm_clf,baseline,2w,20,502,101,20.792079207920793,10.053911441567271,-61.957573980018495,0.0,
meta_tbm_clf,baseline,2w,30,502,151,24.503311258278146,3.860066544121567,-53.31238591663539,0.0,
meta_tbm_clf,baseline,2w,40,502,201,26.368159203980102,5.044687181675292,-50.60788220345974,0.4975124378109453,77.63999024957418
meta_tbm_clf,v8,all,10,62257,6226,33.15130099582396,-11.128987259071812,-40.28429020747542,24.92772245422422,138.69901072262417
meta_tbm_clf,v8,all,20,62257,12452,34.09893992932862,-17.46699560164988,-45.75378470674157,29.930934789592033,147.73574117256047
meta_tbm_clf,v8,all,30,62257,18678,33.167362672663025,-24.149948657826148,-54.24638604365289,33.10311596530678,154.92373661737344
meta_tbm_clf,v8,all,40,62257,24903,32.46596795566799,-26.213715834966287,-60.82013691395521,33.851343211661245,157.24138823014516
meta_tbm_clf,v8,8w,10,3948,395,13.670886075949367,-25.73830809557279,-66.57836833239533,13.670886075949367,78.66738100103437
meta_tbm_clf,v8,8w,20,3948,790,14.556962025316455,-30.296200898230584,-67.00908617842477,13.79746835443038,109.75305363820917
meta_tbm_clf,v8,8w,30,3948,1185,15.358649789029535,-28.942596439195594,-67.53573563384823,15.18987341772152,106.28744112313156
meta_tbm_clf,v8,8w,40,3948,1580,15.759493670886076,-30.90534660779857,-67.90367258856539,16.70886075949367,108.4406327532233
meta_tbm_clf,v8,4w,10,1226,123,23.577235772357724,-0.4889586794458233,-64.57885354377329,16.260162601626014,120.14671679919233
meta_tbm_clf,v8,4w,20,1226,246,23.577235772357724,-13.300105120356426,-62.850559242926536,13.008130081300814,164.75755131279772
meta_tbm_clf,v8,4w,30,1226,368,23.91304347826087,-16.439111763839406,-64.8716201793123,16.032608695652172,138.93847077594916
