,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-28T01:10:13.391387,"[132484, 699]",,0.0,3614.203125,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-28T01:20:03.478441,"[3480, 995]",,0.0,5139.515625,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-28T01:20:20.381924,"[12719, 995]",,0.0,1477.9375,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-28T01:20:28.422389,"[494, 995]",,0.0,1765.609375,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-28T01:20:33.936413,"[3327, 995]",,0.0,1706.71875,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-28T01:20:40.983356,"[42571, 995]",,0.0,4055.21875,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-28T01:20:54.598956,"[533, 995]",,0.0,4742.03125,{},{},{},{},{},{},{}
7,TrainBatch_CAUSAL_SURPRISE,2026-01-28T01:21:22.395401,"[1539, 995]",,0.0,3779.4375,{},{},{},{},{},{},{}
8,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-28T01:21:28.149504,"[41995, 995]",,0.0,4217.25,{},{},{},{},{},{},{}
9,TrainBatch_VOLUME_SPECIALIST,2026-01-28T01:21:36.133649,"[3504, 995]",,0.0,4533.171875,{},{},{},{},{},{},{}
10,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-28T01:21:42.137935,"[41995, 995]",,0.0,4537.6875,{},{},{},{},{},{},{}
11,TrainBatch_INVENTORY_SPECIALIST,2026-01-28T01:21:59.584057,"[367, 995]",,0.0,3174.5,{},{},{},{},{},{},{}
12,TrainBatch_INFORMATION_SPECIALIST,2026-01-28T01:22:03.970494,"[4732, 995]",,0.0,3201.171875,{},{},{},{},{},{},{}
13,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-28T01:22:12.364736,"[532, 995]",,0.0,3202.015625,{},{},{},{},{},{},{}
14,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-28T01:22:16.911620,"[123, 995]",,0.0,3204.96875,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-28T01:22:22.490806,"[34111, 995]",,0.0,3460.171875,{},{},{},{},{},{},{}
16,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-28T01:22:32.843583,"[34111, 995]",,0.0,3930.03125,{},{},{},{},{},{},{}
17,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-28T01:23:00.742405,"[40386, 995]",,0.0,4371.125,{},{},{},{},{},{},{}
18,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-28T01:23:16.056772,"[34111, 995]",,0.0,4072.3125,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-28T01:23:26.740612,"[40386, 995]",,0.0,4355.78125,{},{},{},{},{},{},{}
20,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-28T01:23:44.608885,"[40386, 995]",,0.0,4359.796875,{},{},{},{},{},{},{}
