,S01_s,S02_s,S03_l,S04_s,S05_l,S06_l,S07_l,S08_s,S09_l,S10_s,S11_l,S12_s
S01_s,1.0,0.30734976785317997,-0.35606956776628745,0.29210301347735246,0.05206933214976602,-0.20592737461621136,-0.43996059574450713,0.3429173455341073,-0.3730757526699805,0.43029542313868235,-0.1786509170399867,0.40311289532094696
S02_s,0.30734976785317997,1.0,-0.3502268947487343,0.36966221892450757,-0.1793782658988117,-0.2314574145732844,-0.28059102422154514,0.4349303942752225,-0.30939460536930286,0.27578693933237886,-0.3544798613873843,0.2908079108968993
S03_l,-0.35606956776628745,-0.3502268947487343,1.0,-0.3208269050339513,0.21279448817923136,0.3525390191861525,0.49129339222272905,-0.40992414777914116,0.2216237096708402,-0.29985884776082494,0.2984853436840532,-0.35562027541006463
S04_s,0.29210301347735246,0.36966221892450757,-0.3208269050339513,1.0,-0.28179269800009943,-0.33159580337319255,-0.3058143983023743,0.500815792334918,-0.12482839195628478,0.4116768841702167,-0.3353420336190748,0.3997797289207266
S05_l,0.05206933214976602,-0.1793782658988117,0.21279448817923136,-0.28179269800009943,1.0,0.27817956696441004,0.2166500679428959,-0.2090460784522036,0.1266465970065348,-0.37265141118236184,0.21890061891606688,-0.18452561765155515
S06_l,-0.20592737461621136,-0.2314574145732844,0.3525390191861525,-0.33159580337319255,0.27817956696441004,1.0,0.3561834744678781,-0.2653482051886062,0.26495662890105254,-0.47345083726817183,0.2049175426327765,-0.24760424399708209
S07_l,-0.43996059574450713,-0.28059102422154514,0.49129339222272905,-0.3058143983023743,0.2166500679428959,0.3561834744678781,1.0,-0.35008757602220675,0.3439886204740363,-0.3492258711419475,0.2840491140467583,-0.4126366173792022
S08_s,0.3429173455341073,0.4349303942752225,-0.40992414777914116,0.500815792334918,-0.2090460784522036,-0.2653482051886062,-0.35008757602220675,1.0,-0.27655889049151594,0.3823110885081173,-0.2752694419378239,0.352176527353359
S09_l,-0.3730757526699805,-0.30939460536930286,0.2216237096708402,-0.12482839195628478,0.1266465970065348,0.26495662890105254,0.3439886204740363,-0.27655889049151594,1.0,-0.21123840958139117,0.32741248709476967,-0.22195778055553073
S10_s,0.43029542313868235,0.27578693933237886,-0.29985884776082494,0.4116768841702167,-0.37265141118236184,-0.47345083726817183,-0.3492258711419475,0.3823110885081173,-0.21123840958139117,1.0,-0.34039666044201516,0.38789835532123634
S11_l,-0.1786509170399867,-0.3544798613873843,0.2984853436840532,-0.3353420336190748,0.21890061891606688,0.2049175426327765,0.2840491140467583,-0.2752694419378239,0.32741248709476967,-0.34039666044201516,1.0,-0.22792907270061794
S12_s,0.40311289532094696,0.2908079108968993,-0.35562027541006463,0.3997797289207266,-0.18452561765155515,-0.24760424399708209,-0.4126366173792022,0.352176527353359,-0.22195778055553073,0.38789835532123634,-0.22792907270061794,1.0
