,S01_s,S02_s,S03_l,S04_s,S05_l,S06_l,S07_l,S08_s,S09_l,S10_s,S11_l,S12_s
S01_s,1.0,0.13778341046938372,-0.2444764909808965,0.22338050421515834,-0.23790682081537856,-0.188644708509793,-0.03393571158350571,0.13459281592825803,-0.32271253429056773,0.15846690351941412,-0.06295879994321212,0.15575423016759204
S02_s,0.13778341046938372,1.0,-0.23882341801470464,0.40442673428521775,-0.14359465366379315,-0.2218382540205329,-0.16120316462268602,0.35158384441736434,-0.07072984607364201,0.537467912693138,-0.2792109500893581,0.2845826871580822
S03_l,-0.2444764909808965,-0.23882341801470464,1.0,-0.2940051851229451,0.41356691211090724,0.37188019961793595,-0.003931212423901133,-0.277959458923567,0.25998979735642874,-0.35966020175897595,0.1771900724616519,-0.1982828366128802
S04_s,0.22338050421515834,0.40442673428521775,-0.2940051851229451,1.0,-0.2608333414600403,-0.10597941174427465,-0.3038605971945546,0.4576044891162075,-0.28898728989104083,0.34139146616445204,-0.21829886775616153,0.4480292177175171
S05_l,-0.23790682081537856,-0.14359465366379315,0.41356691211090724,-0.2608333414600403,1.0,0.24673090886343754,0.13558749496772624,-0.109665263271137,0.14818171239593556,-0.2720655740259475,0.003099086841866682,-0.15076943530196654
S06_l,-0.188644708509793,-0.2218382540205329,0.37188019961793595,-0.10597941174427465,0.24673090886343754,1.0,0.03704773798350151,-0.2523024363338992,0.07001027449371301,-0.17946908483559496,0.125745504576023,-0.302215722897139
S07_l,-0.03393571158350571,-0.16120316462268602,-0.003931212423901133,-0.3038605971945546,0.13558749496772624,0.03704773798350151,1.0,-0.20328764747952693,0.20605657380756526,-0.2594827835442007,0.001879254683552655,-0.20226442876842876
S08_s,0.13459281592825803,0.35158384441736434,-0.277959458923567,0.4576044891162075,-0.109665263271137,-0.2523024363338992,-0.20328764747952693,1.0,-0.1553445464956904,0.26794758466365615,-0.24305909002922257,0.28794195565844705
S09_l,-0.32271253429056773,-0.07072984607364201,0.25998979735642874,-0.28898728989104083,0.14818171239593556,0.07001027449371301,0.20605657380756526,-0.1553445464956904,1.0,-0.17846918857879748,0.2262496965167685,-0.2681954405900089
S10_s,0.15846690351941412,0.537467912693138,-0.35966020175897595,0.34139146616445204,-0.2720655740259475,-0.17946908483559496,-0.2594827835442007,0.26794758466365615,-0.17846918857879748,1.0,-0.08787669286355015,0.27105689679725636
S11_l,-0.06295879994321212,-0.2792109500893581,0.1771900724616519,-0.21829886775616153,0.003099086841866682,0.125745504576023,0.001879254683552655,-0.24305909002922257,0.2262496965167685,-0.08787669286355015,1.0,-0.20964561495094367
S12_s,0.15575423016759204,0.2845826871580822,-0.1982828366128802,0.4480292177175171,-0.15076943530196654,-0.302215722897139,-0.20226442876842876,0.28794195565844705,-0.2681954405900089,0.27105689679725636,-0.20964561495094367,1.0
