fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,alpha,metric,target_type,target_name,horizon
0,42,25,0.0037061777893972313,6,64,18,quantile,0.65,quantile,quantile,returns_target,10
1,42,147,0.0029077665180509667,6,64,24,quantile,0.65,quantile,quantile,returns_target,10
2,42,77,0.0029215876060302262,6,64,30,quantile,0.65,quantile,quantile,returns_target,10
