stage,rows,symbols,fraction_of_prev
side_input,192971,102,1.0
stage_a_feature_matrix,192971,102,1.0
stage_a_target_finite,192971,102,1.0
stage_a_any_feature_finite,192971,102,1.0
stage_a_complete_rows,192971,102,1.0
