regime_family,generated_booleans,retained,dropped
basis,12,8,4
compression,4,4,0
context,2,2,0
cross_asset,2,2,0
cross_asset_orderbook,3,3,0
cross_sectional,5,5,0
crowding,3,0,3
funding,9,0,9
liquidity,7,7,0
mark_index,8,8,0
momentum,1,1,0
open_interest,12,1,11
orderbook,2,2,0
path_structure,12,9,3
trend,7,6,1
volatility,7,6,1
volatility_term_structure,4,4,0
