fold_id,target_mean,target_std,target_p1,target_p50,target_p99
0,-2.8783432e-05,0.009016014,-0.026383061,4.853007e-12,0.025087582
1,-2.1553136e-05,0.009035477,-0.02648428,-4.849454e-12,0.02507403
2,-4.0741863e-05,0.008838434,-0.026463628,4.8601123e-12,0.025039466
3,-6.7476256e-05,0.008750106,-0.026544347,-9.698908e-12,0.025096532
4,-1.5683234e-05,0.008566217,-0.026624095,4.8316906e-12,0.025122726
