fold_id,seed,regime_family,gain,split
0,42,compression,0.17211449891328812,3
0,42,trend,31.55771160888071,300
0,42,volatility,244.86860504374783,771
0,42,volatility_term_structure,5.379441965240403,50
1,42,trend,14.30469903189072,295
1,42,volatility,191.83101525287987,869
1,42,volatility_term_structure,4.239026994026062,20
2,42,compression,0.15081700682640076,1
2,42,trend,21.830383091511656,415
2,42,volatility,231.5062887112639,1317
2,42,volatility_term_structure,4.813389000672032,36
3,42,compression,0.00835345033556223,1
3,42,trend,16.073249162034244,411
3,42,volatility,273.6441511634765,1148
3,42,volatility_term_structure,6.617951563821407,23
4,42,compression,0.034633583505637944,4
4,42,trend,3.563766257552743,63
4,42,volatility,144.55379135127532,184
4,42,volatility_term_structure,0.10947500262409449,2
