within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,canonical_key
0.12956414549483025,1.0,0.006554145564119559,0.0036551723520002154,0.014173896027720257,5,0.8604676347670595,within_leaf_future_edge,(*)|(dist_rolling_7d_high<=0.20323308)|(asset_vol_level_pct<=0.36362058&mark_vs_perp_bps>0.79185748)
0.05936694720996645,1.0,0.004923341909209016,0.003490731400196884,-0.04442561436997222,5,0.8325797492241279,within_leaf_future_edge,(*)|(bars_in_high_vol_state_log_norm<=-0.25564852)|(mark_perp_dislocation>0.003570443&oi_expansion_compression_balance_24h<=0.63331538&price_trend_10d_vol_norm<=0.10756047)
0.14561661401971482,1.0,0.008371670972714648,0.0048736293963556245,0.04831347556068235,5,0.9193195537763902,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.31184852&mark_vs_perp_bps>1.5492719)
0.13405702971919933,1.0,0.007580076128668128,0.004471900241644077,0.020843610314808792,5,0.8764916787183631,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_abs_mean_7d>0.00001016571&asset_vol_level_pct<=0.33269632&mark_vs_perp_bps>-1.8747704)
0.14160119872464966,1.0,0.008674137782172481,0.005133009664092973,0.04020403346558128,5,0.9078749141373887,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.34659487&mark_vs_perp_bps>1.9840341)
0.09580849823258882,1.0,0.0054579748749041986,0.0032298402864440016,-0.05892691813312143,5,0.8326547178250705,within_leaf_future_edge,(*)|(zscore_price_200<=-0.54285532)|(mark_perp_dislocation>0.0059686881)
0.07798592281356218,1.0,0.005507229221104181,0.003262010755632004,-0.08472400232724997,5,0.8332204556152792,within_leaf_future_edge,(*)|(oiw_z_delta_entry_dist_14d_atr<=1.1782085)|(mark_perp_dislocation>0.0037450551&oi_vel_2h>-0.018660227)
0.10416768795236639,1.0,0.006922009134305093,0.003991507754098756,-0.015851321967103336,5,0.842252833199023,within_leaf_future_edge,(*)|(loc_swing_range_pos_48>-0.49209937)|(asset_vol_level_pct<=0.39072275&mark_perp_dislocation>0.003313127)
0.07116790851782173,1.0,0.003928161355086574,0.002880483605995974,-0.06686270868475043,5,0.8190992771046041,within_leaf_future_edge,(*)|(*)|(asset_funding_rate_abs_mean_7d>0.000010034811&mark_perp_dislocation>0.0010427842&oi_vel_8h>0.046850488)
0.1094864970646666,1.0,0.007164547236128689,0.004429304121721489,0.01647648804895314,5,0.869615344169096,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.36605284&mark_perp_dislocation>0.0018202269)
0.16026687752880592,1.0,0.009570668722670655,0.005463232855654528,-0.027355267732874566,5,0.8482763594362066,within_leaf_future_edge,(*)|(*)|(asset_vol_level_pct<=0.44145241&mark_vs_perp_bps>-0.81775522&oi_chg_8h_mkt_resid<=-0.016192572)
0.06306537245064522,1.0,0.005112248418498348,0.002686353928241536,-0.10208657098111529,5,0.8214934044575292,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0044883182&price_trend_7d_vol_norm<=-0.050785579)
0.10800868734490673,1.0,0.008756994098426575,0.005201999543837064,-0.0395508399099481,5,0.8477311740216822,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.003778249&ob_imbalance_mkt_resid<=-0.0020861626)
0.05884628599672677,1.0,0.002683179658570311,0.0016863441409566248,-0.08210972660714494,5,0.7519051470590838,within_leaf_future_edge,(*)|(*)|(mark_perp_dislocation>0.0024276981&oi_chg_8h>0.046850488)
