,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-27T01:02:14.119453,"[132484, 684]",,0.0,4990.734375,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-27T01:08:59.377385,"[3480, 991]",,0.0,4295.40625,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-27T01:09:20.070781,"[12719, 991]",,0.0,2862.734375,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-27T01:09:36.561367,"[494, 991]",,0.0,2733.359375,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-27T01:09:43.227707,"[3327, 991]",,0.0,2824.765625,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-27T01:09:54.832459,"[42571, 991]",,0.0,4616.5625,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-27T01:10:26.811212,"[533, 991]",,0.0,4688.796875,{},{},{},{},{},{},{}
7,TrainBatch_CAUSAL_SURPRISE,2026-01-27T01:10:56.885314,"[1538, 991]",,0.0,3933.546875,{},{},{},{},{},{},{}
8,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-27T01:11:04.172446,"[41995, 991]",,0.0,5430.09375,{},{},{},{},{},{},{}
9,TrainBatch_VOLUME_SPECIALIST,2026-01-27T01:11:42.224546,"[3504, 991]",,0.0,4447.96875,{},{},{},{},{},{},{}
10,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-27T01:11:51.760345,"[41995, 991]",,0.0,4823.5625,{},{},{},{},{},{},{}
11,TrainBatch_INVENTORY_SPECIALIST,2026-01-27T01:12:24.477180,"[367, 991]",,0.0,3617.734375,{},{},{},{},{},{},{}
12,TrainBatch_INFORMATION_SPECIALIST,2026-01-27T01:12:31.015945,"[4732, 991]",,0.0,3823.53125,{},{},{},{},{},{},{}
13,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-27T01:12:41.107311,"[532, 991]",,0.0,3913.5625,{},{},{},{},{},{},{}
14,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-27T01:12:47.575412,"[312, 991]",,0.0,3919.421875,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-27T01:12:56.132590,"[34111, 991]",,0.0,4797.765625,{},{},{},{},{},{},{}
16,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-27T01:13:32.665347,"[34111, 991]",,0.0,4631.671875,{},{},{},{},{},{},{}
17,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-27T01:14:02.523519,"[40386, 991]",,0.0,5293.859375,{},{},{},{},{},{},{}
18,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-27T01:14:38.452194,"[34111, 991]",,0.0,4833.265625,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-27T01:15:18.152449,"[40386, 991]",,0.0,5181.078125,{},{},{},{},{},{},{}
20,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-27T01:15:58.659256,"[40386, 991]",,0.0,4936.25,{},{},{},{},{},{},{}
