,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
dir_path_short_2h,0.010868868,0.0017475131,0.067600235,27.333334,1.5986105,467.3503,33.93048,5.732529,200.83238,0.023122177,0.003251552,0.16442458,29.0,0.0,0.0,0.08514088,0.6781609,0.0,0.8014917,45.5,4.6666665,0.25644228,24.0
prior_volatility,0.014462214,0.003899868,0.053631462,23.166666,5.335937,100.58111,51.15385,15.521191,168.58992,0.033252534,0.0091136275,0.12132721,38.0,0.0,0.0,0.16715077,0.4597701,0.0,0.8361803,32.0,7.8333335,0.24868447,25.0
tail_asymmetry_q90_q10_atr_norm_G_VOL_1,0.017798226,0.00555059,0.057070848,36.166668,4.775516,273.9029,55.06275,15.36627,197.3092,0.039255254,0.01069882,0.14403223,32.0,0.0,0.0,0.2432876,0.35632184,0.16666667,0.0,26.0,9.333333,0.24788865,26.0
realized_volatility_24h,0.017319325,0.005178784,0.057920754,39.333332,5.7057476,271.1496,55.172615,21.859411,139.25432,0.038859718,0.012736725,0.118560895,37.0,0.0,0.0,0.23235779,0.22988506,0.33333334,0.16916224,28.0,11.166667,0.24372616,27.0
churn,0.0076984484,0.0010066278,0.05887589,30.0,4.3204937,208.30952,22.627895,3.371882,151.8504,0.018104728,0.0026346354,0.12441235,34.0,0.0,0.0,0.012783322,0.7586207,0.0,0.89855176,56.0,3.5,0.2416136,28.0
tail_against_G_VOL_1,0.009465028,0.00083316275,0.107526116,38.0,4.0,361.0,26.037767,1.6199603,418.5074,0.021200225,0.0015229135,0.29512477,12.5,0.0,0.0,0.053101443,0.79310346,0.0,0.17867821,52.0,3.0,0.23641558,29.0
adx_14,0.017489217,0.004405571,0.06942862,43.333332,5.6470246,332.52515,51.046833,13.349272,195.2001,0.038923644,0.009193551,0.16479486,23.0,0.0,0.0,0.23623517,0.3218391,0.16666667,0.0,24.5,9.833333,0.23538913,30.0
volu_z,0.007233051,0.0009793956,0.05341767,29.666666,3.1446605,279.8748,21.232512,4.67973,96.334526,0.016191646,0.003174543,0.08258494,46.0,0.0,0.0,0.002161696,0.8965517,0.0,0.16522023,57.0,1.5,0.23358788,31.0
thrust_decay_8,0.010737713,0.0027456763,0.04199275,28.0,5.773503,135.79279,31.322666,8.328795,117.79728,0.022541517,0.006089601,0.0834406,51.0,0.0,0.0,0.082147576,0.57471263,0.0,0.7596764,48.0,6.1666665,0.22684315,32.0
pullback_8,0.011036286,0.0019332445,0.06300269,34.5,3.86221,308.17847,30.872662,6.0726,156.9544,0.023952708,0.0042729145,0.13427186,30.0,0.0,0.0,0.08896182,0.6551724,0.0,0.21456657,41.0,5.0,0.22345044,33.0
vp_in_lvn_above_zone,0.017019823,0.005077716,0.05704816,55.333332,9.706813,315.42563,46.94842,14.944078,147.49348,0.038417093,0.011688261,0.1262697,35.5,0.5,0.5,0.22552232,0.1954023,0.33333334,0.0,20.5,11.666667,0.22288787,34.0
asset_atr_level,0.014720843,0.003044565,0.071177065,47.0,8.082904,273.29288,41.76153,8.497046,205.2508,0.03336829,0.0067982147,0.1637846,21.0,0.0,0.0,0.17305338,0.4597701,0.0,0.2042969,27.5,7.8333335,0.22033675,35.0
vp_air_pocket_score,0.018635785,0.006894355,0.050373457,42.0,6.027714,292.64825,63.45262,27.42084,146.8312,0.04265341,0.016483711,0.11037038,42.0,0.0,0.0,0.26240295,0.022988506,0.33333334,0.39126462,15.0,14.166667,0.21963197,36.0
vp_dist_lvn_below_atr,0.0151182795,0.0037202823,0.061436832,37.166668,5.580223,247.54587,48.530354,15.232253,154.61896,0.035136867,0.01016057,0.12150887,33.0,0.0,0.0,0.18212396,0.33333334,0.16666667,0.16103782,34.5,9.666667,0.2165534,37.0
ffd_amihud_06,0.009791668,0.0022028692,0.043523584,29.666666,5.587685,157.50908,26.886858,6.264494,115.39688,0.020678867,0.0050634593,0.08445126,49.0,0.0,0.0,0.06055625,0.57471263,0.0,0.78925306,48.0,6.1666665,0.21644676,38.0
vol_z_x_regime_trend,0.01655804,0.003347843,0.08189413,48.333332,9.321421,250.6175,49.843468,10.02706,247.76668,0.037774958,0.007972182,0.17899081,20.0,0.5,0.0,0.21498318,0.37931034,0.0,0.0,21.5,9.0,0.21306834,39.0
