regime_families_combo,count
trend|volatility,1497
volatility,348
trend|volatility|volatility_term_structure,160
volatility|volatility_term_structure,32
trend,26
compression|trend|volatility,8
trend|volatility_term_structure,8
,4
compression|trend,3
