fold_id,seed,regime_family,gain,split
0,42,compression,0.015555299818515778,1
0,42,trend,7.037591460706608,80
0,42,volatility,15.065470083056425,201
0,42,volatility_term_structure,0.301792539190501,6
1,42,compression,0.15110599994659424,1
1,42,trend,13.9734130279694,241
1,42,volatility,29.502999089215564,617
1,42,volatility_term_structure,0.7529595191008411,18
2,42,trend,0.5269950050860643,5
2,42,volatility,0.844790094801283,7
3,42,trend,0.7692246209394398,7
3,42,volatility,2.5933924082200974,14
4,42,trend,10.56619600423187,166
4,42,volatility,26.455832563173317,458
4,42,volatility_term_structure,1.601854869921226,18
