feature,replay_pre_transform,replay_post_transform,snapshot_post_transform,post_minus_pre,snapshot_minus_replay_post,pre_missing,post_missing,snapshot_missing,abs_snapshot_post_delta
asset_atr_level,0.007176995277404785,1.0540581941604614,0.5916233062744141,1.0468811988830566,-0.46243488788604736,False,False,False,0.46243488788604736
asset_vol_level,7.86531400680542,-0.047506317496299744,-0.19195494055747986,-7.91282032430172,-0.14444862306118011,False,False,False,0.14444862306118011
kalman_price,-6.348392963409424,0.6702334880828857,0.8044211864471436,7.01862645149231,0.1341876983642578,False,False,False,0.1341876983642578
pct_assets_up_24h,0.1796875,-0.8992491364479065,-0.8501179218292236,-1.0789366364479065,0.04913121461868286,False,False,False,0.04913121461868286
fund_countdown_pressure,0.3108406066894531,0.3108406066894531,0.26643481850624084,0.0,-0.04440578818321228,False,False,False,0.04440578818321228
ffd_vol_range_shock_04,0.6658605933189392,0.32839518785476685,0.36111319065093994,-0.33746540546417236,0.032718002796173096,False,False,False,0.032718002796173096
mkt_ret_eq_24h,0.7482700943946838,-1.0744245052337646,-1.0425220727920532,-1.8226945996284485,0.031902432441711426,False,False,False,0.031902432441711426
slope,-0.001990793738514185,-0.28888845443725586,-0.2609478831291199,-0.2868976606987417,0.027940571308135986,False,False,False,0.027940571308135986
atr_percentile,0.8362717032432556,-0.6978957056999207,-0.6728631258010864,-1.5341674089431763,0.02503257989883423,False,False,False,0.02503257989883423
ema50_ema200_spread_atr,-0.005102597642689943,-0.42654117941856384,-0.40438005328178406,-0.4214385817758739,0.022161126136779785,False,False,False,0.022161126136779785
atr_pct_base,0.6793866753578186,-0.2982843518257141,-0.2814987003803253,-0.9776710271835327,0.016785651445388794,False,False,False,0.016785651445388794
resid_ret_6h,-11.2250394821167,-0.25188538432121277,-0.23915430903434753,10.973154097795486,0.012731075286865234,False,False,False,0.012731075286865234
state_uncertainty_1h,0.10274700820446014,-0.8898691534996033,-0.9022817015647888,-0.9926161617040634,-0.012412548065185547,False,False,False,0.012412548065185547
z_breakout_dn_24,-0.2349798083305359,-0.2349798083305359,-0.22398433089256287,0.0,0.010995477437973022,False,False,False,0.010995477437973022
ffd_vol_price_corr_10h_04,0.4776962101459503,1.3927271366119385,1.3825546503067017,0.9150309264659882,-0.010172486305236816,False,False,False,0.010172486305236816
price_state_slope_1h,0.0,-0.019371459260582924,-0.025177961215376854,-0.019371459260582924,-0.00580650195479393,False,False,False,0.00580650195479393
kf_state_uncertainty,4.951547794007638e-07,-0.12631691992282867,-0.13180801272392273,-0.12631741507760808,-0.005491092801094055,False,False,False,0.005491092801094055
kf_innov_var,1.6418765881098807e-05,-0.13180816173553467,-0.13710486888885498,-0.13182458050141577,-0.0052967071533203125,False,False,False,0.0052967071533203125
kf_score_rm24_mean,-0.5666810274124146,-0.08968726545572281,-0.09437599778175354,0.47699376195669174,-0.004688732326030731,False,False,False,0.004688732326030731
price_slope_x_volume_surprise,0.0,-0.0397004596889019,-0.044305842369794846,-0.0397004596889019,-0.004605382680892944,False,False,False,0.004605382680892944
vol_state,1.1605857610702515,0.46581706404685974,0.4702395796775818,-0.6947686970233917,0.004422515630722046,False,False,False,0.004422515630722046
btc_ret_24h_pct,0.009999999776482582,-1.3709046840667725,-1.3675140142440796,-1.380904683843255,0.003390669822692871,False,False,False,0.003390669822692871
kf_score_mean,-0.6322216987609863,-0.33624085783958435,-0.3395964503288269,0.295980840921402,-0.0033555924892425537,False,False,False,0.0033555924892425537
G_TF_TREND,163.3382568359375,0.25046205520629883,0.25379887223243713,-163.0877947807312,0.0033368170261383057,False,False,False,0.0033368170261383057
btc_ret_48h_pct,0.181547611951828,-0.8202558755874634,-0.8170052170753479,-1.0018034875392914,0.0032506585121154785,False,False,False,0.0032506585121154785
trend_acceleration,0.0008920430555008352,0.06553415954113007,0.06865380704402924,0.06464211648562923,0.00311964750289917,False,False,False,0.00311964750289917
cs_ret_dispersion_24h_pct,0.9523809552192688,1.2101832628250122,1.2072707414627075,0.2578023076057434,-0.0029125213623046875,False,False,False,0.0029125213623046875
mtf_divergence_x_regime_vol_12h,12.034599304199219,1.0169330835342407,1.0143349170684814,-11.017666220664978,-0.0025981664657592773,False,False,False,0.0025981664657592773
vol_expansion_ratio,1.008326768875122,-0.12125620245933533,-0.11894463747739792,-1.1295829713344574,0.0023115649819374084,False,False,False,0.0023115649819374084
cs_dispersion_ret_24h,2.8447494506835938,0.22969168424606323,0.2319093942642212,-2.6150577664375305,0.002217710018157959,False,False,False,0.002217710018157959
impulse_ratio_24,0.00070190493715927,-0.42667844891548157,-0.42455431818962097,-0.42738035385264084,0.0021241307258605957,False,False,False,0.0021241307258605957
atr_slope,0.00832675863057375,-0.1291062980890274,-0.1271289438009262,-0.13743305671960115,0.0019773542881011963,False,False,False,0.0019773542881011963
ret8h,-107.00434875488281,0.11469709128141403,0.11273863166570663,107.11904584616423,-0.0019584596157073975,False,False,False,0.0019584596157073975
be_vol_units,0.0050383019261062145,0.33236831426620483,0.33061519265174866,0.3273300123400986,-0.0017531216144561768,False,False,False,0.0017531216144561768
pl_vol_units,0.0071975733153522015,0.3323707580566406,0.33061763644218445,0.3251731847412884,-0.0017531216144561768,False,False,False,0.0017531216144561768
giveback_vol_units,0.5038301348686218,0.35030558705329895,0.3487281799316406,-0.15352454781532288,-0.0015774071216583252,False,False,False,0.0015774071216583252
symbol_minus_mkt_ret_24h,-1.421661138534546,0.23795104026794434,0.23645183444023132,1.6596121788024902,-0.0014992058277130127,False,False,False,0.0014992058277130127
hurst_proxy_x_regime_trend_48h,-0.4091578423976898,-0.9977691173553467,-0.9991928339004517,-0.5886112749576569,-0.0014237165451049805,False,False,False,0.0014237165451049805
accel_5h,0.06505339592695236,0.5754830837249756,0.5768842101097107,0.5104296877980232,0.0014011263847351074,False,False,False,0.0014011263847351074
volatility_autocorr_48,0.9982672333717346,0.11198268085718155,0.1133628562092781,-0.8862845525145531,0.0013801753520965576,False,False,False,0.0013801753520965576
retrace_12,0.00891008973121643,0.7569385170936584,0.7556293606758118,0.748028427362442,-0.0013091564178466797,False,False,False,0.0013091564178466797
ffd_range_24_04,0.01520640030503273,0.8474377393722534,0.8461290001869202,0.8322313390672207,-0.001308739185333252,False,False,False,0.001308739185333252
