regime_families_combo,count
trend|volatility,665
volatility,324
trend|volatility|volatility_term_structure,41
volatility|volatility_term_structure,34
compression|trend|volatility,11
trend,9
,7
trend|volatility_term_structure,2
compression|volatility,2
volatility_term_structure,1
