feature,overall_finite_row_count,overall_finite_row_pct
fund_payment_pressure_10h,324000,1.0
fund_payment_pressure_5h,324000,1.0
ob_age_ratio,324000,1.0
ob_coverage_24h,324000,1.0
ob_depth_mkt_resid,324000,1.0
ob_depth_usd_l20_z,324000,1.0
ob_depth_z_10bps,324000,1.0
ob_depth_z_25bps,324000,1.0
ob_imbalance_mkt_resid,324000,1.0
ob_pressure_mkt_resid,324000,1.0
ob_spread_mkt_resid,324000,1.0
ob_spread_z_24h,324000,1.0
xasset_mkt_depth_z,324000,1.0
xasset_mkt_ob_stress_z_24h,324000,1.0
xasset_mkt_spread_bps,324000,1.0
xasset_ob_liquidity_peer_resid,322200,0.9944444444444445
xasset_ob_liquidity_ts_resid,322200,0.9944444444444445
xasset_ob_pressure_peer_resid,322200,0.9944444444444445
xasset_ob_pressure_ts_resid,322200,0.9944444444444445
xasset_asset_minus_mkt_ob_pressure_z_24h,316080,0.9755555555555555
amihud_illiq,265261,0.8187067901234568
asset_atr_level_pct,265261,0.8187067901234568
asset_vol_level_pct,265261,0.8187067901234568
atr_slope,265261,0.8187067901234568
autocorr_24h,265261,0.8187067901234568
autocorr_6h,265261,0.8187067901234568
bars_in_high_vol_state_log_norm,265261,0.8187067901234568
bars_outside_ema20_atr_band_log_norm,265261,0.8187067901234568
bars_since_ema20_ema50_cross_log_norm,265261,0.8187067901234568
blowoff_risk_surprise,265261,0.8187067901234568
bollinger_band_width,265261,0.8187067901234568
chop_score_surprise,265261,0.8187067901234568
choppiness_index_20,265261,0.8187067901234568
compression_score,265261,0.8187067901234568
direction_entropy_20,265261,0.8187067901234568
dist_ema200_atr,265261,0.8187067901234568
dist_ema50_atr,265261,0.8187067901234568
dist_local_swing,265261,0.8187067901234568
dist_ma100_atr,265261,0.8187067901234568
dist_prior_day_high,265261,0.8187067901234568
dist_prior_day_low,265261,0.8187067901234568
dist_range_mid_atr,265261,0.8187067901234568
dist_rolling_7d_high,265261,0.8187067901234568
ema20_gt_ema50,265261,0.8187067901234568
ema50_gt_ema200,265261,0.8187067901234568
exh_qual_surprise,265261,0.8187067901234568
grind_score_surprise,265261,0.8187067901234568
impulse_ratio_24,265261,0.8187067901234568
loc_pullback_depth_24,265261,0.8187067901234568
loc_pullback_depth_48,265261,0.8187067901234568
loc_range_pos_24,265261,0.8187067901234568
loc_range_pos_48,265261,0.8187067901234568
market_breadth_24h,265261,0.8187067901234568
market_breadth_4h,265261,0.8187067901234568
market_dispersion_24h,265261,0.8187067901234568
market_dispersion_4h,265261,0.8187067901234568
mkt_ret_eq_24h,265261,0.8187067901234568
overext_surprise,265261,0.8187067901234568
price_lt_ema200,265261,0.8187067901234568
range_24h_pct,265261,0.8187067901234568
regime_stability_24h,265261,0.8187067901234568
ret1h_z,265261,0.8187067901234568
return_autocorr_48,265261,0.8187067901234568
rolling_range_20,265261,0.8187067901234568
rvol_z,265261,0.8187067901234568
rvol_z_peer_resid,265261,0.8187067901234568
spectral_entropy_ret_24,265261,0.8187067901234568
spike_score_surprise,265261,0.8187067901234568
trend_acceleration,265261,0.8187067901234568
up_down_return_mass_ratio_tanh,265261,0.8187067901234568
up_down_semivol_ratio_tanh,265261,0.8187067901234568
variance_ratio_10_48,265261,0.8187067901234568
vol_regime_z,265261,0.8187067901234568
vol_z,265261,0.8187067901234568
vol_z_4h,265261,0.8187067901234568
vol_z_peer_resid,265261,0.8187067901234568
volatility_autocorr_48,265261,0.8187067901234568
volatility_of_volatility_48,265261,0.8187067901234568
volume_autocorr_48,265261,0.8187067901234568
volume_entropy_12,265261,0.8187067901234568
volume_entropy_24,265261,0.8187067901234568
volume_percentile,265261,0.8187067901234568
volume_price_corr_ts_resid,265261,0.8187067901234568
volume_trend_48,265261,0.8187067901234568
volume_zscore_48h,265261,0.8187067901234568
asset_funding_rate_abs_mean_7d,265260,0.8187037037037037
asset_funding_rate_mean_15d,265260,0.8187037037037037
