,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-19T22:13:00.885031,"[132484, 84]",,0.0,1905.015625,{},{},{},{},{},{},{}
1,TrainBatch_RELAXATION_GEOMETRY_DECAY_RATE_20_POS,2026-01-19T22:15:17.563308,"[42024, 390]",,0.0,2575.578125,{},{},{},{},{},{},{}
2,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-19T22:16:16.564623,"[2909, 390]",,0.0,913.546875,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_SPECIALIST,2026-01-19T22:16:19.794872,"[3710, 390]",,0.0,1234.65625,{},{},{},{},{},{},{}
4,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-19T22:16:25.721315,"[33750, 390]",,0.0,1649.03125,{},{},{},{},{},{},{}
5,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-19T22:16:42.595013,"[39649, 390]",,0.0,1438.875,{},{},{},{},{},{},{}
6,TrainBatch_VOLUME_SPECIALIST,2026-01-19T22:16:57.741170,"[4094, 390]",,0.0,1211.765625,{},{},{},{},{},{},{}
7,TrainBatch_INFORMATION_SPECIALIST,2026-01-19T22:17:03.253412,"[5285, 390]",,0.0,1164.5625,{},{},{},{},{},{},{}
8,TrainBatch_INVENTORY_SPECIALIST,2026-01-19T22:17:09.363420,"[898, 390]",,0.0,1094.65625,{},{},{},{},{},{},{}
9,TrainBatch_RELAXATION_GEOMETRY_RELAXATION_ACCEL_100_POS,2026-01-19T22:17:18.926905,"[42024, 390]",,0.0,825.53125,{},{},{},{},{},{},{}
10,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-19T22:17:39.461383,"[33750, 390]",,0.0,1384.46875,{},{},{},{},{},{},{}
11,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-19T22:17:57.453569,"[33750, 390]",,0.0,1484.359375,{},{},{},{},{},{},{}
12,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-19T22:18:14.172427,"[39649, 390]",,0.0,855.65625,{},{},{},{},{},{},{}
13,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-19T22:18:51.788309,"[39649, 390]",,0.0,1627.5,{},{},{},{},{},{},{}
14,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-19T22:19:15.290454,"[41615, 390]",,0.0,1561.984375,{},{},{},{},{},{},{}
