feature,shap_mean_abs,shap_presence,perm_metric_mean,perm_metric_std,perm_importance_mean,perm_importance_std,composite_score,rank
climax_vol_24,0.00010412787417992996,0.3333333333333333,2.8089321494938913e-07,1.2895148232021565e-07,6.437317157785098e-05,5.105576770170398e-05,0.35767156375308634,19
utility_disagreement,0.0001499490882534148,0.3333333333333333,1.029398368434822e-07,2.1432076783617828e-07,2.069954449931781e-05,2.4558776401642363e-05,0.3345703479446914,20
pers_24,6.427656711591741e-05,0.3333333333333333,-2.630913427686979e-07,2.2593164595185616e-07,4.2430621882279713e-05,1.238990228776482e-05,0.32699744950670284,21
body_ratio_15m,7.100276097754672e-05,0.0,1.1551660144370137e-08,1.0031887798551873e-07,1.9987144817908604e-05,2.403115690401127e-05,0.28759683884263454,22
ll_count_24,4.496190732747053e-05,0.0,8.144770943170382e-08,1.1206783087095891e-07,1.9857225318749745e-05,1.8330282958238484e-05,0.27599963534505206,23
press_24,9.536133771661738e-05,0.3333333333333333,5.262643447258384e-08,1.555136915868151e-07,1.2546963989734649e-05,2.680236252052114e-05,0.2648792190316619,24
volume_entropy_12,4.2034615889819793e-05,0.3333333333333333,-1.119039080833116e-07,6.717110970882078e-08,1.3095047324895861e-05,8.34063764060788e-06,0.2528853970013831,25
climax_range_24,2.588559212545047e-05,0.0,1.7416386037903453e-08,2.844828203078273e-08,1.8203134338061015e-05,1.312223713523796e-05,0.2513953639106636,26
climax_range_12,3.6369080880290174e-05,0.0,1.5737651459474805e-07,7.24612318756064e-08,1.3459598024686177e-05,2.2178067004657048e-05,0.2369690577248032,27
ll_count_12,4.243232060535576e-05,0.0,-1.464917909850734e-08,7.212073804634298e-08,7.295173903306324e-06,1.6885230483300866e-05,0.2193402087251608,28
prog_eff_24,5.600625440712833e-05,0.0,4.485840794184998e-08,1.0201299486015065e-07,4.907418042421341e-06,2.9202603309182325e-05,0.2125126637803354,29
impact_24,3.356748392276437e-05,0.0,-1.5287916775401376e-09,2.1719764898538985e-08,8.342570314804714e-06,2.045659821441527e-05,0.20810106969045752,30
base_H2,4.020417408455034e-05,0.0,-3.819004793644317e-08,1.1318321662820381e-08,2.0748004317283628e-06,6.012051116794374e-06,0.19687079149111913,31
hh_count_12,2.1338792906927942e-05,0.0,2.182630413241001e-07,5.574162920724594e-08,1.866774012645086e-06,1.5646550139588418e-05,0.1649040528339141,32
risk_reward_ratio,0.00020118643188288995,0.6666666666666666,1.4182091911671984e-06,4.449717503199247e-07,-5.327121665080388e-05,4.4481892092932514e-05,0.03821552501457761,33
reg_std,0.0,0.0,0.0,0.0,0.0,0.0,0.018617021276595747,34
vol_regime_z,0.0,0.0,0.0,0.0,0.0,0.0,0.01851063829787234,35
impact_z,0.00011931861149956603,0.3333333333333333,2.1765891857495604e-07,2.5486597571387875e-07,-1.6728416085243225e-05,3.585733753681481e-05,0.018186329165705655,36
reg_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.017765957446808513,37
press_12,9.760616945678187e-05,0.3333333333333333,2.438356929582883e-07,1.9143709547294389e-07,-7.41680463155111e-06,2.9228232501133023e-05,0.017714107181153405,38
skew_24,0.0,0.0,0.0,0.0,0.0,0.0,0.017340425531914894,39
skew_12,0.0,0.0,0.0,0.0,0.0,0.0,0.017127659574468084,40
high_utility_pred,8.587454289046159e-05,0.3333333333333333,-3.3427593494454476e-08,1.5708985169518924e-07,-1.2260551253954569e-05,2.3855627219106877e-05,0.016590993714054904,41
early_inval,8.88699416580591e-05,0.3333333333333333,6.311796403340358e-08,1.0311072462193767e-07,-2.1610905726750695e-05,2.9562539136161878e-05,0.016260471397354172,42
reg,8.927177717244575e-05,0.3333333333333333,1.0044258651624674e-07,9.349393986756584e-08,-6.113129978378614e-05,3.656308159567339e-05,0.01546912645078365,43
impact_12,8.550881430554736e-05,0.3333333333333333,9.413176952671193e-08,2.2855701381427275e-07,-2.536202470461527e-05,2.730666579909735e-05,0.015386418087806315,44
base_H1,0.0,0.0,0.0,0.0,0.0,0.0,0.015319148936170214,45
risk_adjusted_pred,4.0276369116085406e-05,0.0,-1.898583534146528e-08,5.476499499698544e-08,-4.0220127751429875e-05,1.9481755735063012e-05,0.013581179626242255,46
ts_12,2.4663874939187664e-05,0.0,4.2728388843724564e-08,4.593266736717132e-08,-2.318651725848516e-06,1.9069217981157084e-05,0.012350559156734317,47
range_norm_24,2.2260634690626184e-05,0.0,6.37736453976633e-08,4.4091466158136827e-08,-4.1167562206586157e-07,2.348382344105149e-05,0.012107417630872312,48
