feature,shap_mean_abs,shap_presence,perm_metric_mean,perm_metric_std,perm_importance_mean,perm_importance_std,composite_score,rank
z_r_24,0.003568779400336723,1.0,5.4612795105098276e-05,3.5509674199040997e-06,0.0041722330730408425,0.00024117036816002804,0.9945355014260886,1
z_r_12,0.0011942486618164562,1.0,1.23009402921229e-05,9.59833168514535e-07,0.001030329257870714,0.0001481506487961934,0.9640244103855135,2
regime_stability_24h,0.0007273225416896097,1.0,2.748179716734121e-06,4.0966860535209324e-07,0.0004548453104992707,0.00012987870675520557,0.9309795222284005,3
rejection_proxy,0.000760328885844359,1.0,4.222611627279363e-06,7.151823231914682e-07,0.0003444736823439598,0.00012900185887009053,0.9216904421088693,4
volatility_zscore,0.0012226476464943254,1.0,9.899810337824128e-06,1.1060122288151915e-06,0.00012379363179206848,0.00010037953285924435,0.885009558459661,5
dv_z,0.00036831758133738703,1.0,1.252255708072409e-06,3.5380707476249243e-07,0.00017909475912650428,0.00010433706258417348,0.8823368867728243,6
rng_z,0.0005165728167891757,1.0,1.2205330346261932e-06,4.1010242124197094e-07,0.00017015794292092327,9.773463168129023e-05,0.8784108472164075,7
clv_t,0.0003598427054318421,1.0,7.131644713563958e-07,3.6912894404432815e-07,0.0001110046791533629,6.109212884941457e-05,0.8453523644620211,8
bb_pos_12,0.0001406937000845165,0.6666666666666666,4.9621138944674e-07,1.0556505160754991e-07,7.621546586354573e-05,4.226264093885604e-05,0.7770946914865673,9
z_vwap_12,0.000229218147778,0.6666666666666666,4.776506354373606e-07,2.7583724657339475e-07,4.508684699734052e-05,5.612146057118271e-05,0.7466762234572587,10
hh_count_24,0.00017300585094107504,1.0,3.359515143537796e-07,2.1874935929964452e-07,4.127401237686475e-05,3.4182674218819486e-05,0.7164010744222806,11
regime_transition_entropy_48h,0.00027420986968485617,1.0,3.063508742730269e-07,2.037354159842063e-07,2.9288791120052343e-05,7.611638219298292e-05,0.7107655871051488,12
z_vwap_24,0.00033398868898374,1.0,-2.8317047947055576e-07,3.6612034357753795e-07,2.1547886232535046e-05,6.204692357428166e-05,0.704499988979377,13
range_norm_12,0.00010486255676175379,0.6666666666666666,-8.375678372108332e-08,1.4711271932873146e-07,1.6444642096757888e-05,2.6265030542927552e-05,0.5874394920491512,14
bb_pos_24,0.0002626487504084505,1.0,6.790763713151863e-07,2.942093187898499e-07,9.547670682271318e-06,5.80564559920456e-05,0.5843356782865095,15
ts_24,0.0002063669321106433,1.0,6.652284287481001e-07,2.0234176406886848e-07,6.292946636676761e-07,2.4176796448655457e-05,0.49615388061267407,16
sv_imb_12,0.00012085302246283911,0.3333333333333333,4.1677769578185557e-07,2.029317202324801e-07,7.350196441014609e-05,4.949872275083298e-05,0.3745595316261488,17
climax_vol_12,0.00012897389364951943,0.3333333333333333,4.3350401469494994e-07,2.5278760222422906e-07,4.638091971476873e-05,2.8456526209057708e-05,0.3682218184736994,18
