trigger_family,trigger_name,source_function,params,long_short_supported,semantic_description,source_file,notes
pullback_recovery,close_crosses_above_ema,generate_trigger_templates,{'ema_len': 10},True,close[t-1] <= ema_10[t-1] and close[t] > ema_10[t],extreme_price_movements/trigger_discovery.py,
pullback_recovery,ema_reclaim_touch,generate_trigger_templates,{'ema_len': 10},True,bar touches ema_10 intrabar and closes back through it,extreme_price_movements/trigger_discovery.py,
pullback_recovery,close_crosses_above_ema,generate_trigger_templates,{'ema_len': 20},True,close[t-1] <= ema_20[t-1] and close[t] > ema_20[t],extreme_price_movements/trigger_discovery.py,
pullback_recovery,ema_reclaim_touch,generate_trigger_templates,{'ema_len': 20},True,bar touches ema_20 intrabar and closes back through it,extreme_price_movements/trigger_discovery.py,
pullback_recovery,close_crosses_above_ema,generate_trigger_templates,{'ema_len': 30},True,close[t-1] <= ema_30[t-1] and close[t] > ema_30[t],extreme_price_movements/trigger_discovery.py,
pullback_recovery,ema_reclaim_touch,generate_trigger_templates,{'ema_len': 30},True,bar touches ema_30 intrabar and closes back through it,extreme_price_movements/trigger_discovery.py,
pullback_recovery,reclaim_after_opposite_bar,generate_trigger_templates,{'body_ratio_min': 0.4},True,close reclaims prior bar extreme after opposite candle,extreme_price_movements/trigger_discovery.py,
pullback_recovery,reclaim_after_opposite_bar,generate_trigger_templates,{'body_ratio_min': 0.6},True,close reclaims prior bar extreme after opposite candle,extreme_price_movements/trigger_discovery.py,
pullback_recovery,close_in_extreme_of_range,generate_trigger_templates,{'close_location_min': 0.7},True,close finishes in the directional extreme of the bar,extreme_price_movements/trigger_discovery.py,
pullback_recovery,close_in_extreme_of_range,generate_trigger_templates,{'close_location_min': 0.8},True,close finishes in the directional extreme of the bar,extreme_price_movements/trigger_discovery.py,
pullback_recovery,close_in_extreme_of_range,generate_trigger_templates,{'close_location_min': 0.9},True,close finishes in the directional extreme of the bar,extreme_price_movements/trigger_discovery.py,
breakout,simple_close_breakout,generate_trigger_templates,{'lookback': 5},True,close breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
breakout,simple_close_breakout,generate_trigger_templates,{'lookback': 10},True,close breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
breakout,simple_close_breakout,generate_trigger_templates,{'lookback': 20},True,close breaks the prior rolling extreme,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 5, 'close_location_min': 0.7}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 5, 'close_location_min': 0.8}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 10, 'close_location_min': 0.7}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 10, 'close_location_min': 0.8}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 20, 'close_location_min': 0.7}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,close_gt_rolling_extreme,generate_trigger_templates,"{'lookback': 20, 'close_location_min': 0.8}",True,close breaks the prior rolling extreme with a strong close,extreme_price_movements/trigger_discovery.py,
breakout,high_break_close_near_extreme,generate_trigger_templates,"{'lookback': 5, 'near_high_threshold': 0.8}",True,high takes the rolling extreme and close holds near the directional extreme,extreme_price_movements/trigger_discovery.py,
breakout,high_break_close_near_extreme,generate_trigger_templates,"{'lookback': 5, 'near_high_threshold': 0.9}",True,high takes the rolling extreme and close holds near the directional extreme,extreme_price_movements/trigger_discovery.py,
breakout,high_break_close_near_extreme,generate_trigger_templates,"{'lookback': 10, 'near_high_threshold': 0.8}",True,high takes the rolling extreme and close holds near the directional extreme,extreme_price_movements/trigger_discovery.py,
breakout,high_break_close_near_extreme,generate_trigger_templates,"{'lookback': 10, 'near_high_threshold': 0.9}",True,high takes the rolling extreme and close holds near the directional extreme,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 5, 'body_ratio_min': 0.6, 'range_atr_min': 1.2}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 5, 'body_ratio_min': 0.6, 'range_atr_min': 1.5}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 5, 'body_ratio_min': 0.7, 'range_atr_min': 1.2}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 5, 'body_ratio_min': 0.7, 'range_atr_min': 1.5}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 15, 'body_ratio_min': 0.6, 'range_atr_min': 1.2}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 15, 'body_ratio_min': 0.6, 'range_atr_min': 1.5}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 15, 'body_ratio_min': 0.7, 'range_atr_min': 1.2}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
breakout,expansion_body_breakout,generate_trigger_templates,"{'lookback': 15, 'body_ratio_min': 0.7, 'range_atr_min': 1.5}",True,breakout bar expands in both range and body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,expansion_bar,generate_trigger_templates,{'range_atr_min': 1.2},True,directional expansion bar with large range,extreme_price_movements/trigger_discovery.py,
expansion_impulse,expansion_bar,generate_trigger_templates,{'range_atr_min': 1.5},True,directional expansion bar with large range,extreme_price_movements/trigger_discovery.py,
expansion_impulse,expansion_bar,generate_trigger_templates,{'range_atr_min': 2.0},True,directional expansion bar with large range,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 1.2, 'body_ratio_min': 0.5}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 1.2, 'body_ratio_min': 0.6}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 1.5, 'body_ratio_min': 0.5}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 1.5, 'body_ratio_min': 0.6}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 2.0, 'body_ratio_min': 0.5}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
expansion_impulse,impulse_bar,generate_trigger_templates,"{'range_atr_min': 2.0, 'body_ratio_min': 0.6}",True,directional expansion bar with large range and strong body,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.4, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.4, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.4}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.6, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.6, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,relaxed_sweep,generate_trigger_templates,"{'lookback': 5, 'wick_min': 0.6}",True,bar sweeps the prior extreme and leaves a large rejection wick,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.4, 'body_ratio_max': 0.6}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
sweep_reversal,sweep_reversal,generate_trigger_templates,"{'lookback': 10, 'wick_min': 0.4, 'body_ratio_max': 0.8}",True,bar sweeps the prior extreme then rejects back into range,extreme_price_movements/trigger_discovery.py,
