,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-30T16:14:53.902267,"[132484, 441]",,0.0,1971.203125,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-30T16:17:10.189424,"[3480, 748]",,0.0,2508.4375,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-30T16:17:38.259424,"[12719, 748]",,0.0,1411.265625,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-30T16:18:01.967186,"[494, 748]",,0.0,843.03125,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-30T16:18:09.915566,"[3327, 748]",,0.0,1135.6875,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-30T16:18:27.291686,"[42571, 748]",,0.0,2132.078125,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-30T16:18:58.291542,"[533, 748]",,0.0,865.65625,{},{},{},{},{},{},{}
7,TrainBatch_CAUSAL_SURPRISE,2026-01-30T16:19:27.418521,"[836, 748]",,0.0,1076.484375,{},{},{},{},{},{},{}
8,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-30T16:19:39.756368,"[41995, 748]",,0.0,1875.53125,{},{},{},{},{},{},{}
9,TrainBatch_VOLUME_SPECIALIST,2026-01-30T16:20:55.953822,"[3504, 748]",,0.0,1264.9375,{},{},{},{},{},{},{}
10,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-30T16:21:08.783097,"[41995, 748]",,0.0,1504.53125,{},{},{},{},{},{},{}
11,TrainBatch_INVENTORY_SPECIALIST,2026-01-30T16:22:01.035662,"[367, 748]",,0.0,1772.5625,{},{},{},{},{},{},{}
12,TrainBatch_INFORMATION_SPECIALIST,2026-01-30T16:22:11.622982,"[4732, 748]",,0.0,1950.90625,{},{},{},{},{},{},{}
13,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-30T16:22:28.188771,"[532, 748]",,0.0,1876.59375,{},{},{},{},{},{},{}
14,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-30T16:22:37.570475,"[123, 748]",,0.0,1888.109375,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-30T16:22:48.762636,"[35060, 748]",,0.0,2224.5625,{},{},{},{},{},{},{}
16,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-30T16:23:45.157918,"[35060, 748]",,0.0,2168.109375,{},{},{},{},{},{},{}
17,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-30T16:24:42.778502,"[40386, 748]",,0.0,2036.390625,{},{},{},{},{},{},{}
18,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-30T16:25:50.274475,"[35060, 748]",,0.0,2720.546875,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-30T16:26:36.103686,"[40386, 748]",,0.0,3116.25,{},{},{},{},{},{},{}
20,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-30T16:27:32.888676,"[40386, 748]",,0.0,2686.796875,{},{},{},{},{},{},{}
