,stage_name,timestamp,input_data_shape,output_data_shape,processing_time,memory_usage_mb,geometry_metrics,model_metrics,feature_metrics,quality_metrics,performance_scores,stability_scores,integrity_scores
0,OOF_Start,2026-01-30T14:33:12.719487,"[132484, 441]",,0.0,997.171875,{},{},{},{},{},{},{}
1,TrainBatch_VOLATILITY_SPECIALIST,2026-01-30T14:36:51.158779,"[3480, 748]",,0.0,879.0625,{},{},{},{},{},{},{}
2,TrainBatch_META_SUM_4H_COMPOSITE_DERIVED_FLOW_IMBALANCE_PROXY_OHLCV_VOLUME_SURGE_30MIN_INT,2026-01-30T14:37:33.572823,"[12719, 748]",,0.0,732.703125,{},{},{},{},{},{},{}
3,TrainBatch_VOLATILITY_INNOVATION_SPECIALIST,2026-01-30T14:38:10.070803,"[494, 748]",,0.0,790.4375,{},{},{},{},{},{},{}
4,TrainBatch_LIQUIDITY_SPECIALIST,2026-01-30T14:38:34.804279,"[3327, 748]",,0.0,795.59375,{},{},{},{},{},{},{}
5,TrainBatch_MARKET_FRAGILITY_FRAGILITY_ACCEL_100_POS,2026-01-30T14:39:09.699069,"[42571, 748]",,0.0,1656.8125,{},{},{},{},{},{},{}
6,TrainBatch_DISPERSION_SPECIALIST,2026-01-30T14:41:40.689601,"[533, 748]",,0.0,663.59375,{},{},{},{},{},{},{}
7,TrainBatch_CAUSAL_SURPRISE,2026-01-30T14:42:22.618327,"[836, 748]",,0.0,1015.75,{},{},{},{},{},{},{}
8,TrainBatch_MEAN_REVERSION_RELAXATION_ACCEL_100_POS,2026-01-30T14:42:37.764817,"[41995, 748]",,0.0,2380.78125,{},{},{},{},{},{},{}
9,TrainBatch_VOLUME_SPECIALIST,2026-01-30T14:44:11.817486,"[3504, 748]",,0.0,1144.765625,{},{},{},{},{},{},{}
10,TrainBatch_MEAN_REVERSION_DECAY_RATE_20_POS,2026-01-30T14:44:41.309962,"[41995, 748]",,0.0,1049.265625,{},{},{},{},{},{},{}
11,TrainBatch_INVENTORY_SPECIALIST,2026-01-30T14:46:08.249162,"[367, 748]",,0.0,1026.875,{},{},{},{},{},{},{}
12,TrainBatch_INFORMATION_SPECIALIST,2026-01-30T14:46:21.023982,"[4732, 748]",,0.0,1126.421875,{},{},{},{},{},{},{}
13,TrainBatch_EXHAUSTION_SPECIALIST,2026-01-30T14:46:46.418390,"[532, 748]",,0.0,744.9375,{},{},{},{},{},{},{}
14,TrainBatch_MOMENTUM_DECAY_SPECIALIST,2026-01-30T14:47:04.439759,"[123, 748]",,0.0,755.578125,{},{},{},{},{},{},{}
15,TrainBatch_SURPRISE_Z_CONTINUOUS_VOL_SURPRISE_Z_100_POS,2026-01-30T14:47:17.420672,"[35060, 748]",,0.0,1799.90625,{},{},{},{},{},{},{}
16,TrainBatch_SURPRISE_Z_CONTINUOUS_VOLUME_SURPRISE_Z_20_POS,2026-01-30T14:48:57.016104,"[35060, 748]",,0.0,2149.671875,{},{},{},{},{},{},{}
17,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_100_POS,2026-01-30T14:50:20.457215,"[40386, 748]",,0.0,2056.09375,{},{},{},{},{},{},{}
18,TrainBatch_SURPRISE_Z_CONTINUOUS_RETURN_SURPRISE_Z_20_POS,2026-01-30T14:51:08.922560,"[35060, 748]",,0.0,2161.171875,{},{},{},{},{},{},{}
19,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_ACCEL_20_POS,2026-01-30T14:52:53.962126,"[40386, 748]",,0.0,2161.90625,{},{},{},{},{},{},{}
20,TrainBatch_FLOW_PRESSURE_CONTINUOUS_FLOW_PRESSURE_20_POS,2026-01-30T14:53:51.156004,"[40386, 748]",,0.0,1331.015625,{},{},{},{},{},{},{}
