feature_name,source_function,formula_or_description,parameterization,dimensionless,normalized,source_file,notes
open,build_trigger_feature_frame,raw open,,False,False,extreme_price_movements/trigger_discovery.py,
high,build_trigger_feature_frame,raw high,,False,False,extreme_price_movements/trigger_discovery.py,
low,build_trigger_feature_frame,raw low,,False,False,extreme_price_movements/trigger_discovery.py,
close,build_trigger_feature_frame,raw close,,False,False,extreme_price_movements/trigger_discovery.py,
volume,build_trigger_feature_frame,raw volume,,False,False,extreme_price_movements/trigger_discovery.py,
range,build_trigger_feature_frame,high - low,,False,False,extreme_price_movements/trigger_discovery.py,
true_range,build_trigger_feature_frame,"max(high-low, |high-prev_close|, |low-prev_close|)",,False,False,extreme_price_movements/trigger_discovery.py,
atr_14,build_trigger_feature_frame,EWMA true range alpha=1/14,14,False,False,extreme_price_movements/trigger_discovery.py,
atr_100,build_trigger_feature_frame,EWMA true range alpha=1/100,100,False,False,extreme_price_movements/trigger_discovery.py,
range_atr,build_trigger_feature_frame,range / atr_14,14,True,True,extreme_price_movements/trigger_discovery.py,
compression_ratio,build_trigger_feature_frame,atr_14 / atr_100,14/100,True,True,extreme_price_movements/trigger_discovery.py,
rolling_range_5,build_trigger_feature_frame,"shifted rolling max(high,5) - shifted rolling min(low,5)",5,False,False,extreme_price_movements/trigger_discovery.py,
rolling_range_10,build_trigger_feature_frame,"shifted rolling max(high,10) - shifted rolling min(low,10)",10,False,False,extreme_price_movements/trigger_discovery.py,
rolling_range_20,build_trigger_feature_frame,"shifted rolling max(high,20) - shifted rolling min(low,20)",20,False,False,extreme_price_movements/trigger_discovery.py,
body,build_trigger_feature_frame,abs(close-open),,False,False,extreme_price_movements/trigger_discovery.py,
body_ratio,build_trigger_feature_frame,abs(close-open)/range,,True,True,extreme_price_movements/trigger_discovery.py,
upper_wick,build_trigger_feature_frame,"high - max(open, close)",,False,False,extreme_price_movements/trigger_discovery.py,
lower_wick,build_trigger_feature_frame,"min(open, close) - low",,False,False,extreme_price_movements/trigger_discovery.py,
upper_wick_ratio,build_trigger_feature_frame,upper_wick / range,,True,True,extreme_price_movements/trigger_discovery.py,
lower_wick_ratio,build_trigger_feature_frame,lower_wick / range,,True,True,extreme_price_movements/trigger_discovery.py,
close_location_in_bar,build_trigger_feature_frame,(close - low) / range,,True,True,extreme_price_movements/trigger_discovery.py,
open_location_in_bar,build_trigger_feature_frame,(open - low) / range,,True,True,extreme_price_movements/trigger_discovery.py,
signed_body_ratio,build_trigger_feature_frame,(close-open) / range,,True,True,extreme_price_movements/trigger_discovery.py,
ema_10,build_trigger_feature_frame,"EMA(close,10)",10,False,False,extreme_price_movements/trigger_discovery.py,
ema_20,build_trigger_feature_frame,"EMA(close,20)",20,False,False,extreme_price_movements/trigger_discovery.py,
ema_30,build_trigger_feature_frame,"EMA(close,30)",30,False,False,extreme_price_movements/trigger_discovery.py,
ema_50,build_trigger_feature_frame,"EMA(close,50)",50,False,False,extreme_price_movements/trigger_discovery.py,
ema_slope_ema20_3,build_trigger_feature_frame,ema_20 - ema_20.shift(3),3,False,False,extreme_price_movements/trigger_discovery.py,
ema_slope_ema20_5,build_trigger_feature_frame,ema_20 - ema_20.shift(5),5,False,False,extreme_price_movements/trigger_discovery.py,
distance_to_ema10,build_trigger_feature_frame,close - ema_10,10,False,False,extreme_price_movements/trigger_discovery.py,
distance_to_ema20,build_trigger_feature_frame,close - ema_20,20,False,False,extreme_price_movements/trigger_discovery.py,
distance_to_ema30,build_trigger_feature_frame,close - ema_30,30,False,False,extreme_price_movements/trigger_discovery.py,
distance_to_ema20_atr,build_trigger_feature_frame,(close - ema_20) / atr_14,20,True,True,extreme_price_movements/trigger_discovery.py,
distance_to_ema50_atr,build_trigger_feature_frame,(close - ema_50) / atr_14,50,True,True,extreme_price_movements/trigger_discovery.py,
trend_alignment_ema20_gt_ema50,build_trigger_feature_frame,ema_20 > ema_50,20/50,True,False,extreme_price_movements/trigger_discovery.py,
returns_1,build_trigger_feature_frame,close.pct_change(1),1,True,True,extreme_price_movements/trigger_discovery.py,
returns_3,build_trigger_feature_frame,close.pct_change(3),3,True,True,extreme_price_movements/trigger_discovery.py,
returns_5,build_trigger_feature_frame,close.pct_change(5),5,True,True,extreme_price_movements/trigger_discovery.py,
returns_10,build_trigger_feature_frame,close.pct_change(10),10,True,True,extreme_price_movements/trigger_discovery.py,
acceleration_close,build_trigger_feature_frame,close - 2*close.shift(1) + close.shift(2),,False,False,extreme_price_movements/trigger_discovery.py,
acceleration_close_atr,build_trigger_feature_frame,acceleration_close / atr_14,,True,True,extreme_price_movements/trigger_discovery.py,
volume_ma_20,build_trigger_feature_frame,"rolling mean(volume,20)",20,False,False,extreme_price_movements/trigger_discovery.py,
volume_spike,build_trigger_feature_frame,volume / volume_ma_20,20,True,True,extreme_price_movements/trigger_discovery.py,
rolling_high_5,build_trigger_feature_frame,"shifted rolling max(high,5)",5,False,False,extreme_price_movements/trigger_discovery.py,
rolling_high_10,build_trigger_feature_frame,"shifted rolling max(high,10)",10,False,False,extreme_price_movements/trigger_discovery.py,
rolling_high_20,build_trigger_feature_frame,"shifted rolling max(high,20)",20,False,False,extreme_price_movements/trigger_discovery.py,
rolling_low_5,build_trigger_feature_frame,"shifted rolling min(low,5)",5,False,False,extreme_price_movements/trigger_discovery.py,
rolling_low_10,build_trigger_feature_frame,"shifted rolling min(low,10)",10,False,False,extreme_price_movements/trigger_discovery.py,
rolling_low_20,build_trigger_feature_frame,"shifted rolling min(low,20)",20,False,False,extreme_price_movements/trigger_discovery.py,
close_gt_rolling_high_5,build_trigger_feature_frame,close > shifted rolling high 5,5,True,False,extreme_price_movements/trigger_discovery.py,
close_lt_rolling_low_5,build_trigger_feature_frame,close < shifted rolling low 5,5,True,False,extreme_price_movements/trigger_discovery.py,
high_gt_rolling_high_5,build_trigger_feature_frame,high > shifted rolling high 5,5,True,False,extreme_price_movements/trigger_discovery.py,
low_lt_rolling_low_5,build_trigger_feature_frame,low < shifted rolling low 5,5,True,False,extreme_price_movements/trigger_discovery.py,
bullish_bar,build_trigger_feature_frame,close > open,,True,False,extreme_price_movements/trigger_discovery.py,
