,open,high,low,close,volume,bar_duration,vol_regime,volatility_1d,geo_atr_14,log_ret,cusum_trend_pos,cusum_trend_neg,cusum_rev_pos,cusum_rev_neg,smoothed_return,residual_return,rolling_efficiency_ratio,efficiency_ratio_volatility,signal_cluster_count,body_to_range,shadow_asymmetry,close_location_value,rv_z_short,volatility_trend_slope,wick_to_body_ratio,displacement_ratio,relative_volume_stress,amihud_illiquidity,dist_to_long_proxy,dist_to_short_proxy,liquidation_risk_long,momentum_30,kalman_trend,kalman_uncertainty,rsi_kalman,atr_14,rolling_sharpe,kaufman_efficiency_ratio,body_to_range_w10,shadow_asymmetry_w10,close_location_value_w10,yang_zhang_volatility_w10,rogers_satchell_volatility_w10,parkinson_volatility_w10,volatility_w10,volatility_zscore_w10,volatility_trend_slope_w10,vol_acceleration_w10,bars_since_vol_spike_w10,vol_compression_duration_w10,bars_since_compression_ended_w10,breakout_after_compression_flag_w10,trend_efficiency_ratio_w10,directional_consistency_w10,trend_duration_w10,momentum_decay_w10,trend_per_vol_w10,trend_slope_stability_w10,adx_w10,adx_trend_strength_w10,macd_hist_w10,hurst_proxy_w10,donchian_position_w10,donchian_width_w10,ehlers_fisher_transform_w10,aroon_oscillator_w10,stochastic_k_w10,cci_w10,price_impact_w10,signed_price_impact_w10,range_per_volume_w10,volume_without_progress_w10,delta_volume_divergence_w10,climax_volume_flag_w10,cmf_w10,force_index_w10,volume_delta_w10,obv_slope_w10,vwap_zscore_w10,ease_of_movement_w10,volume_weighted_rsi_w10,touch_count_near_price_w10,time_weighted_sr_strength_w10,range_expansion_ratio_w10,breakout_follow_through_w10,false_break_rate_w10,rolling_skewness_w10,rolling_kurtosis_w10,downside_semivariance_w10,left_tail_var_ratio_w10,max_runup_w10,drawdown_w10,max_adverse_excursion_w10,tail_event_flag_w10,bars_since_breakout_attempt_w10,bars_since_trend_exhaustion_signal_w10,trend_alignment_score_w10,price_vol_correlation_w10,sma_ratio_w10_vs_w40,rsi_ratio_w10_vs_w40,vol_ratio_w10_vs_w40,vol_trend_conflict_w10,compression_x_momentum_w10,absorption_x_vol_spike_w10,body_to_range_w20,shadow_asymmetry_w20,close_location_value_w20,yang_zhang_volatility_w20,rogers_satchell_volatility_w20,parkinson_volatility_w20,volatility_w20,volatility_zscore_w20,volatility_trend_slope_w20,vol_acceleration_w20,bars_since_vol_spike_w20,vol_compression_duration_w20,bars_since_compression_ended_w20,breakout_after_compression_flag_w20,trend_efficiency_ratio_w20,directional_consistency_w20,trend_duration_w20,momentum_decay_w20,trend_per_vol_w20,trend_slope_stability_w20,adx_w20,adx_trend_strength_w20,macd_hist_w20,hurst_proxy_w20,donchian_position_w20,donchian_width_w20,ehlers_fisher_transform_w20,hilbert_transform_phase,aroon_oscillator_w20,stochastic_k_w20,cci_w20,price_impact_w20,signed_price_impact_w20,range_per_volume_w20,volume_without_progress_w20,delta_volume_divergence_w20,climax_volume_flag_w20,cmf_w20,force_index_w20,volume_delta_w20,obv_slope_w20,vwap_zscore_w20,ease_of_movement_w20,volume_weighted_rsi_w20,touch_count_near_price_w20,time_weighted_sr_strength_w20,range_expansion_ratio_w20,breakout_follow_through_w20,false_break_rate_w20,rolling_skewness_w20,rolling_kurtosis_w20,downside_semivariance_w20,left_tail_var_ratio_w20,max_runup_w20,drawdown_w20,max_adverse_excursion_w20,tail_event_flag_w20,bars_since_breakout_attempt_w20,bars_since_trend_exhaustion_signal_w20,trend_alignment_score_w20,price_vol_correlation_w20,sma_ratio_w20_vs_w80,rsi_ratio_w20_vs_w80,vol_ratio_w20_vs_w80,vol_trend_conflict_w20,compression_x_momentum_w20,absorption_x_vol_spike_w20,body_to_range_w50,shadow_asymmetry_w50,close_location_value_w50,yang_zhang_volatility_w50,rogers_satchell_volatility_w50,parkinson_volatility_w50,volatility_w50,volatility_zscore_w50,volatility_trend_slope_w50,vol_acceleration_w50,bars_since_vol_spike_w50,vol_compression_duration_w50,bars_since_compression_ended_w50,breakout_after_compression_flag_w50,trend_efficiency_ratio_w50,directional_consistency_w50,trend_duration_w50,momentum_decay_w50,trend_per_vol_w50,trend_slope_stability_w50,adx_w50,adx_trend_strength_w50,macd_hist_w50,hurst_proxy_w50,donchian_position_w50,donchian_width_w50,ehlers_fisher_transform_w50,aroon_oscillator_w50,stochastic_k_w50,cci_w50,price_impact_w50,signed_price_impact_w50,range_per_volume_w50,volume_without_progress_w50,delta_volume_divergence_w50,climax_volume_flag_w50,cmf_w50,force_index_w50,volume_delta_w50,obv_slope_w50,vwap_zscore_w50,ease_of_movement_w50,volume_weighted_rsi_w50,touch_count_near_price_w50,time_weighted_sr_strength_w50,range_expansion_ratio_w50,breakout_follow_through_w50,false_break_rate_w50,rolling_skewness_w50,rolling_kurtosis_w50,downside_semivariance_w50,left_tail_var_ratio_w50,max_runup_w50,drawdown_w50,max_adverse_excursion_w50,tail_event_flag_w50,bars_since_breakout_attempt_w50,bars_since_trend_exhaustion_signal_w50,trend_alignment_score_w50,price_vol_correlation_w50,sma_ratio_w50_vs_w200,rsi_ratio_w50_vs_w200,vol_ratio_w50_vs_w200,vol_trend_conflict_w50,compression_x_momentum_w50,absorption_x_vol_spike_w50,returns_1h,returns_4h,causal_surprise,surprise_strength,surprise_zone,zone_score,surprise_consensus,surprise_inventory_specialist,surprise_volume_specialist,surprise_information_specialist,surprise_volatility_specialist,surprise_tick_rule_specialist,surprise_cusum_break_specialist,surprise_bar_efficiency_specialist,surprise_entropy_specialist,surprise_trend_specialist,surprise_reversal_specialist,surprise_volatility_breakout_specialist,zone_score_sq,zone_score_change
2021-11-01 14:19:00,4339.85009765625,4386.580078125,4303.47998046875,4359.759765625,8094097.627202,10800.0,Trending,0.004345340400258377,26.1943359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008078211,-0.0038747676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018568931,0.0044976897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007119695,0.0,0.0,0.0,0.0,0.0,0.0,1.0599658e-07,-0.081481434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0076905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02622532,0.0021267796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014541792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05963494e-07,-0.0056899134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.122889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017330118,-0.008860062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018582676,0.0,0.0,0.0,0.0,0.0,0.0,1.120201e-07,1.1945453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2902861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.585605240112145,2,0.38374171128079004,2.262308688642347,0.05586790862908539,0.0234199829454958,0.05825892182670514,0.4946454686423976,0.26446653826615707,0.0236735057210478,0.10036295083447487,0.023565847604883942,0.23773429351332123,0.047309560187281045,0.023283975433331848,0.14725770097670923,0.0
2021-11-01 17:27:00,4290.3701171875,4294.5498046875,4269.68994140625,4285.8798828125,7261966.972555,1440.0,Quiet,0.0043144191079953756,26.661446707589285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066236486,-0.017716603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028256977,-0.003970013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082037895,0.0,0.0,0.0,0.0,0.0,0.0,1.1798409e-07,0.06061542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1185925,0.0,0.0,0.0,1.6237364e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36671358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072722007,0.01924078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010001494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16633665e-07,-1.3246461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023894532,0.0,0.0,0.0,1.6237364e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36671358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014086713,-0.007342484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020559148,0.0,0.0,0.0,0.0,0.0,0.0,1.2247297e-07,1.0632477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012033319,0.0,0.0,0.0,1.6237364e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36671358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8398214612512003,3,0.99,5.598655552104073,0.09328914358271122,0.9974669356564491,0.0660169630185991,0.02857234826006626,0.19560519400041257,0.0236735057210478,0.25881746881030315,0.023565847604883942,0.10786903126127786,0.25379029519215557,0.023283975433331848,0.9801,0.60625828871921
2021-11-02 09:51:00,4369.2998046875,4438.39990234375,4367.68994140625,4427.97998046875,16161330.860826,1080.0,Chaos,0.004087330004424444,23.773577008928573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030736785,0.0046147252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018299133,-0.011349766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008737594,0.0,0.0,0.0,0.0,0.0,0.0,1.0770452e-07,0.440818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45665595,0.0,0.0,0.0,1.666551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027381973,-0.004138375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011701165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1108335e-07,-0.4633395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7193731,0.0,0.0,0.0,1.666551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014557683,-0.018038442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014535061,0.0,0.0,0.0,0.0,0.0,0.0,1.2987712e-07,-1.1276643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.67211944,0.0,0.0,0.0,1.666551e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9735877389383252,3,0.99,10.186020862028084,0.9508610197502136,0.978927337574583,0.6839790919735028,0.9525972664193676,0.4001701421638582,0.6338397368056022,0.17255106194613085,0.030946202418299346,0.34872887679900527,0.21925513066859764,0.05914749470397668,0.9801,0.0
2021-11-02 15:37:00,4488.58984375,4514.56005859375,4483.22998046875,4494.77978515625,17380940.4157718,300.0,Chaos,0.002855839467978332,15.648542131696429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012215562,0.02845801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026293725,0.011215571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007196913,0.0,0.0,0.0,0.0,0.0,0.0,9.367687e-08,1.8526825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0674533,0.0,0.0,0.0,-1.4169579e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30914226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03460389,0.013494176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00082629727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.668607e-08,-0.22492588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0521789,0.0,0.0,0.0,-1.4169579e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30914226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049939793,0.0016533943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024845405,0.0,0.0,0.0,0.0,0.0,0.0,1.4435689e-07,-1.1509175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.445638,0.0,0.0,0.0,-1.4169579e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30914226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5887853914572361,3,0.8545630383279711,6.531485027046249,0.04178621896474725,0.035328246642904106,0.12482317159983194,0.17236435790281113,0.42159985267777,0.02937298320868871,0.02529590769282901,0.2041509149623894,0.038764674805850094,0.11998319946161279,0.08451522901587931,0.7302779864763334,-0.1354369616720289
2021-11-02 19:28:00,4498.580078125,4516.0,4498.580078125,4514.77978515625,7868965.820525,540.0,Chaos,0.001932163970178323,14.385811941964286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060990848,0.00459403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027622012,-0.034139264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006080859,0.0,0.0,0.0,0.0,0.0,0.0,1.104133e-07,1.1475619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41463643,0.0,0.0,0.0,2.4135792e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029128134,-0.022316968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006616886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0952667e-07,1.4144442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.079189554,0.0,0.0,0.0,2.4135792e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031581532,-0.028188918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016091234,0.0,0.0,0.0,0.0,0.0,0.0,1.2243649e-07,-1.8732653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38153306,0.0,0.0,0.0,2.4135792e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.639622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.5910175240375384,3,0.99,9.332167690150692,0.03008159790326858,0.5385554828634171,0.20347152934030668,0.0677152263180778,0.11657020870974251,0.07607951798257132,0.02536086311710691,0.23167556421443414,0.05963600757011676,0.06200120996909706,0.030230272645690195,0.9801,0.1354369616720289
2021-11-02 21:04:00,4509.14990234375,4528.509765625,4489.58984375,4498.330078125,8130583.172313999,3540.0,Chaos,0.001921157112101389,16.822928292410715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014610522,0.014340189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00753954,-0.0017496605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063521764,0.0,0.0,0.0,0.0,0.0,0.0,1.1427823e-07,1.0008707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13524228,0.0,0.0,0.0,1.6534632e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15766625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00900884,-0.0032189598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00063521764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58625e-08,1.3425373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5670356,0.0,0.0,0.0,1.6534632e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4715518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023036662,-0.0029929895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013972061,0.0,0.0,0.0,0.0,0.0,0.0,1.0044284e-07,-1.6848413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5780772,0.0,0.0,0.0,1.6534632e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4715518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9744135789375368,3,0.99,10.176811520779664,0.11255549857665767,0.25123270488404975,0.15509176498233473,0.45693691196623587,0.03782305737653138,0.261383987169892,0.12983096291548007,0.18594893689907552,0.26191326116629976,0.22267661427190663,0.21585915722463184,0.9801,0.0
2021-11-03 00:52:00,4576.5400390625,4604.740234375,4575.580078125,4603.68017578125,18702925.966892,420.0,Chaos,0.0021593876266655424,14.723667689732142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054540187,0.00020115392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153677175,-0.040816676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00065477774,0.0,0.0,0.0,0.0,0.0,0.0,9.304987e-08,1.1933182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16766079,0.0,0.0,0.0,7.8691573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053553857,-0.0027744642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006962708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.060284e-08,-0.0360038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8444778,0.0,0.0,0.0,7.8691573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04158072,-0.016067564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016623896,0.0,0.0,0.0,0.0,0.0,0.0,1.03122176e-07,0.7385835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95744795,0.0,0.0,0.0,7.8691573e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.8735753907488647,3,0.99,6.3863749841754975,0.5800223774070419,0.8993701695433088,0.7542727141463548,0.3638340071877991,0.05510870762872088,0.03140528726636596,0.024860422646866033,0.04886692635446354,0.03509863673365793,0.1135809349121461,0.040073631795235695,0.9801,0.0
2021-11-03 02:02:00,4602.240234375,4615.39013671875,4580.2001953125,4582.35986328125,11595198.565437,660.0,Trending,0.002203291378746371,16.457170758928573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034732696,0.019200873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04858366,0.008453983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00080204307,0.0,0.0,0.0,0.0,0.0,0.0,8.76414e-08,-0.40022358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3967159,0.0,0.0,0.0,3.1008724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006745356,0.013511491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011629557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.487251e-08,1.2313563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.657626,0.0,0.0,0.0,3.1008724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03574822,0.016990034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022250114,0.0,0.0,0.0,0.0,0.0,0.0,1.06455595e-07,1.3025512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67125344,0.0,0.0,0.0,3.1008724e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6147981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.9738599027185113,3,0.99,9.074537777892834,0.37885587209982086,0.2492006664415525,0.42195584146052284,0.4835215821493853,0.3334619054904532,0.6946782305139989,0.6909014891292939,0.05268677261511814,0.2570376516074629,0.5263936474304634,0.03574342069184931,0.9801,0.0
2021-11-03 05:17:00,4565.31982421875,4567.5498046875,4524.0,4552.39990234375,11255486.97085,480.0,Quiet,0.002230303555137709,18.662144252232142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014213413,-0.02878995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023099681,-0.011585039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078688597,0.0,0.0,0.0,0.0,0.0,0.0,9.4043884e-08,1.2420541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8329306,0.0,0.0,0.0,-4.263311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2935656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03167419,-0.013540755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009617974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.40731e-08,0.92355996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5915902,0.0,0.0,0.0,-4.263311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2935656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020777395,0.02652431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001220583,0.0,0.0,0.0,0.0,0.0,0.0,7.53445e-08,1.6656834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2148846,0.0,0.0,0.0,-4.263311e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2935656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1161243657630326,3,0.99,9.362832382807746,0.08925571519721127,0.0469613363302509,0.056982529508840064,0.6860671820651788,0.08551362882597628,0.28622695053026154,0.08676050818381319,0.03349588029321953,0.20698337711974577,0.08457256240692838,0.22098072715330505,0.9801,0.0
