,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
meta_alignment,0.0058156042,0.0021643706,0.015626367,25.333334,5.763872,111.3449,14.325801,5.219549,39.319214,0.00947387,0.003523773,0.02547105,60.0,0.0,0.46153846,0.0,0.64705884,0.0,0.6371084,58.5,5.0,0.19362013,29.0
ret8h,0.0077115875,0.0021501002,0.027658517,31.833334,5.5502753,182.57854,18.047644,4.569169,71.28592,0.01286383,0.003012474,0.054930974,43.0,0.0,0.46153846,0.04633293,0.64705884,0.0,0.41811347,49.0,5.0,0.19193697,30.0
vol_price_spread,0.015722927,0.0035079147,0.07047218,37.833332,5.3670807,266.6927,42.69097,10.758028,169.41014,0.025791507,0.0063982015,0.10396701,17.0,0.0,0.46153846,0.24210934,0.49411765,0.0,0.14394943,23.0,7.1666665,0.17914875,31.0
vov_iqr_20,0.0068989936,0.002268472,0.020981573,32.5,5.795113,182.26564,15.800668,4.716205,52.93686,0.010382718,0.003161757,0.034095235,54.0,0.0,0.46153846,0.026475236,0.65882355,0.0,0.14154214,50.5,4.8333335,0.17707805,32.0
body_ratio_15m,0.0076908767,0.002886496,0.020491831,39.166668,10.652334,144.0086,17.048786,6.7381105,43.136883,0.012382524,0.0044938484,0.03411929,55.0,0.0,0.46153846,0.04582681,0.6,0.0,0.3482308,53.0,5.6666665,0.17657691,33.0
comp_to_exp,0.009585557,0.0014962045,0.061410654,41.833332,3.4840908,502.29108,21.54279,1.6787386,276.45267,0.015147244,0.0014769606,0.15534537,16.0,0.0,0.46153846,0.09212789,0.62352943,0.0,0.0,40.5,5.3333335,0.17430794,34.0
mr_pct,0.015879147,0.004485724,0.056211054,47.833332,7.151146,319.9526,37.46597,9.980688,140.64148,0.026249655,0.006661074,0.103443444,23.0,0.0,0.23076923,0.24592696,0.49411765,0.0,0.0,23.0,7.1666665,0.1727148,35.0
ret72h,0.010938583,0.004334861,0.027602406,44.166668,8.87725,219.74086,25.281763,11.499008,55.584583,0.017666496,0.0073641515,0.042381674,47.0,0.0,0.46153846,0.12519236,0.5176471,0.0,0.30451503,40.5,6.8333335,0.16967599,36.0
G_VOL,0.017185414,0.0070744534,0.04174718,60.666668,12.270108,299.9521,39.593346,15.414156,101.70087,0.027780706,0.010197348,0.07568318,33.0,0.0,0.46153846,0.27784875,0.31764707,0.16666667,0.12864134,22.0,9.666667,0.16641359,37.0
kf_vol_ratio_mean,0.008213452,0.0016667439,0.040474605,30.166666,4.219663,215.66362,20.183826,5.20668,78.24312,0.012729209,0.0024700798,0.06559818,36.0,0.0,0.46153846,0.0585972,0.5529412,0.0,0.28182673,48.0,6.3333335,0.16404608,38.0
range_12h_pct,0.0108432425,0.0018494964,0.063571855,28.666666,4.642796,177.00063,27.165752,4.921285,149.95639,0.017951578,0.0036118103,0.08922371,22.0,0.0,0.46153846,0.12286248,0.5294118,0.0,0.12428686,33.0,6.6666665,0.16313979,39.0
vov_mad_20,0.01608949,0.005127758,0.05048438,51.5,7.2743845,364.60132,40.694695,11.854935,139.69357,0.024926564,0.0069573997,0.08930543,27.0,0.0,0.46153846,0.2510672,0.44705883,0.0,0.0,20.5,7.8333335,0.16197814,40.0
liq_state,0.011426874,0.004975016,0.026245834,48.0,11.298967,203.91243,26.31583,11.175026,61.97059,0.019127179,0.008006496,0.045694023,46.0,0.0,0.46153846,0.13712494,0.47058824,0.0,0.2795586,36.0,7.5,0.15904997,41.0
coherence_24,0.010837663,0.0031093424,0.03777485,38.833332,7.7549267,194.4606,24.938156,6.3715606,97.607414,0.017944086,0.00441542,0.07292403,35.0,0.0,0.46153846,0.12272613,0.44705883,0.0,0.32102185,38.0,7.8333335,0.15236104,42.0
G_EXH_EFFORT,0.00904186,0.0022658748,0.036081087,36.5,4.1129875,323.91296,21.019539,5.5803895,79.17386,0.01422437,0.0033526293,0.06035045,38.0,0.0,0.46153846,0.07884134,0.44705883,0.0,0.46676987,46.5,7.8333335,0.15087147,43.0
dn_vol,0.013027667,0.0032722496,0.051866494,38.5,6.2915287,235.59457,36.771027,11.766478,114.9119,0.02125296,0.0061213304,0.07378923,28.0,0.0,0.46153846,0.17624417,0.42352942,0.0,0.14260733,32.0,8.166667,0.14826156,44.0
impact_z,0.008768048,0.0040464294,0.018999137,32.5,7.697402,137.22162,19.691902,10.444481,37.12688,0.013285309,0.005825993,0.030295169,59.0,0.0,0.46153846,0.0721501,0.44705883,0.0,0.3940107,51.5,7.8333335,0.14589527,45.0
pullback_48,0.013954945,0.004059212,0.04797495,36.5,6.849574,194.50114,37.495853,13.274718,105.91102,0.023367897,0.007986254,0.068374805,30.0,0.0,0.46153846,0.19890444,0.32941177,0.0,0.3264067,28.0,9.5,0.13845417,46.0
body_pct,0.009906232,0.0038376017,0.025571557,45.833332,8.952033,234.66116,22.774479,8.860986,58.534897,0.0161069,0.0062765046,0.041333865,50.0,0.0,0.46153846,0.09996437,0.4117647,0.0,0.29799372,40.5,8.333333,0.13783374,47.0
G_META_TF_QUAL,0.010852017,0.0041219736,0.028570361,38.0,8.524474,169.3946,24.92902,9.323409,66.65546,0.01683653,0.0064725834,0.043795303,45.0,0.0,0.46153846,0.123076916,0.32941177,0.0,0.55286497,39.0,9.5,0.13461158,48.0
mfe_2h,0.015781501,0.00557832,0.044647098,36.5,6.726812,198.05072,41.5339,18.002016,95.8262,0.026601335,0.0104055265,0.06800531,34.0,0.0,0.46153846,0.24354075,0.30588236,0.0,0.14993237,26.0,9.833333,0.13267536,49.0
ret120h,0.010771142,0.0038132563,0.030424787,43.833332,9.227074,208.23082,24.311533,7.207391,82.00619,0.017261066,0.0052171666,0.057108473,41.0,0.0,0.46153846,0.12110054,0.42352942,0.0,0.0,37.5,8.166667,0.13010246,50.0
G_META_EXH,0.008793863,0.0039585186,0.019535597,33.666668,8.137704,139.28308,20.711512,9.231188,46.469284,0.01378226,0.00583352,0.03256193,56.0,0.0,0.46153846,0.07278093,0.3529412,0.0,0.5042581,45.5,9.166667,0.12800439,51.0
trapped_longs_12,0.009376587,0.002581253,0.03406113,40.5,7.0415435,232.939,20.484383,6.2068524,67.60431,0.015658658,0.004430667,0.055340104,39.0,0.0,0.46153846,0.08702122,0.42352942,0.0,0.0,41.5,8.166667,0.1232866,52.0
mkt_rv_ratio_G_VOL_1,0.010079805,0.0037036974,0.02743271,45.833332,12.01966,174.77155,22.634716,9.328002,54.923916,0.016929487,0.0066089504,0.043366574,48.5,0.0,0.46153846,0.10420603,0.3647059,0.0,0.17233428,45.0,9.0,0.12063439,53.0
amihud_illiq,0.009379552,0.0040156026,0.021908538,35.666668,8.919392,142.62308,22.048735,9.710593,50.063545,0.016113248,0.007076243,0.036691323,53.0,0.0,0.46153846,0.08709366,0.21176471,0.0,1.0,51.5,11.166667,0.12035991,54.0
asset_vol_level,0.009731083,0.0050122566,0.018892482,42.166668,11.378586,156.26086,21.291168,11.375111,39.851376,0.01570532,0.007489302,0.032934584,58.0,0.0,0.46153846,0.09568418,0.27058825,0.0,0.54392993,43.5,10.333333,0.1139804,55.0
impact_12,0.014061672,0.0047054314,0.042021777,33.166668,4.8790936,225.4574,38.29128,13.019487,112.61749,0.022537854,0.0072619603,0.06994734,32.0,0.0,0.46153846,0.20151256,0.29411766,0.0,0.0,29.5,10.0,0.11383192,56.0
ffd_amihud_06,0.012853902,0.0063201822,0.026142092,48.0,12.396236,185.86287,27.997252,12.71636,61.640755,0.020703675,0.009457545,0.045322772,48.5,0.0,0.46153846,0.1719978,0.16470589,0.16666667,0.123125836,34.5,11.833333,0.10673234,57.0
rng_z,0.009259798,0.0029899087,0.028677747,36.333332,6.209312,212.60184,21.500338,6.936257,66.64466,0.015321668,0.0049063456,0.04784692,44.0,0.0,0.46153846,0.08416718,0.28235295,0.0,0.15395702,41.5,10.166667,0.09511953,58.0
pullback_120,0.014532651,0.0052697603,0.040077336,38.833332,7.0099134,215.12787,40.98321,18.893702,88.898605,0.025081044,0.010040757,0.062650524,37.0,0.0,0.46153846,0.21302208,0.08235294,0.16666667,0.0,27.0,13.0,0.08819266,59.0
mfe_4h,0.012141909,0.0066880295,0.022043258,33.333332,10.979779,101.19612,32.32263,18.161602,57.525352,0.019818563,0.010414752,0.037713375,51.0,0.0,0.46153846,0.15459853,0.0,0.16666667,0.13158275,29.0,14.166667,0.062498845,60.0
