regime_family,generated_booleans,retained,dropped
compression,54,54,0
context,36,36,0
liquidity,72,72,0
momentum,18,18,0
path_structure,54,54,0
trend,111,111,0
volatility,126,126,0
volatility_term_structure,72,72,0
